"Can't write to file %s","Soubor %s nelze měnit"
"Change %s's password","Změna hesla uživatele %s"
"Change %s's password: Axis administrator panel","Změna hesla uživatele %s: správce obchodu"
"Csv Import/Export","Import a Export CSV"
"Import","Import"
"Invalid hash recieved. Please fill forgot form again","Neplatný šifrovací klíč, opakujte zadání"
"Template is used already and can't be deleted","Použitou šablonu nelze odstranit"
"Your can't delete default Guest group id: %s ","Výchozí skupinu neregistrovaných uživatelů s ID: %s nelze odstranit "
"Your can't delete default customer group id: %s ","Výchozí skupinu registrovaných uživatelů s ID: %s nelze odstranit "
"No","Ne"
"Yes","Ano"
"Access Denied","Přístup zamítnut"
"Action","Činnost"
"Active","Aktivní"
"All time","Celé období"
"Amounts ","Částky "
"At least one language should be determined","Musí být zvolen alespoň jeden jazyk"
"Back","Zpět"
"Box Class","Třída boxu"
"Cache was cleared successfully","Mezipaměť byla vyčištěna"
"Cannot connect to database","K databázi se nelze připojit"
"Cannot open file with read permissions","S právy ke čtení soubor nelze otevřít"
"Change","Změnit"
"Clear all","Vyčistit vše"
"Config","Nastavit"
"Configuration was saved successfully","Nastavení bylo uloženo"
"Configuration","Základní Nastavení"
"Confirm new password","Potvrzení nového hesla"
"Controller","Kontrolor"
"Convertion rate","Přepočtový koeficient"
"Copy global %s successfully","Souhrnné kopírování %s dokončeno"
"Country","Stát"
"Data was deleted successfully","Data byla odstraněna"
"Data was deleted successfully. %d item(s) was deleted. %d item(s) was skipped","Odstraňování dokončeno, úspěšně %d záznam(ů), vynecháno %d záznam(ů)"
"Data was updated successfully. %d item(s) was updated. %d item(s) was skipped","Úprava dokončena, úspěšně %d záznam(ů), vynecháno %d záznam(ů)"
"Day","Den"
"Description","Popis"
"Disable all","Vše vypnout"
"Email Templates","Automatické emaily"
"Email address was not found in our records","Emailová adresa nenalezena"
"Email","Email"
"Enable all","Vše zapnout"
"Error","Chyba"
"Export process has been completed. %d item(s) was exported. %d item(s) was skipped","Export dokončen, úspěšně %d záznam(ů), vynecháno %d záznam(ů)"
"Field was deleted successfully","Pole byla úspěšně smazána"
"Forgot Your Backend Password","Obnovení hesla správce"
"Forgot your password?","Obnova hesla"
"Global","Souhrnné"
"Go to login page","K přihlášení"
"Group was deleted successfully","Skupina byla odstraněna"
"Hide","Skrýt"
"Install %s","Instalovat %s"
"Interface locale","Prostředí"
"Layout block","Uspořádání bloků"
"Login to Axis administrator panel","Přihlášení správce"
"Module","Modul"
"Modules","Moduly"
"Month","Měsíc"
"Name","Jméno"
"New password","Nové heslo"
"Next","Další"
"No data to delete","Není co odstranit"
"Order","Objednávka"
"Orders","Objednávky"
"Pageviews","Počet zobrazení"
"Parent Roles","Nadřazené role"
"Password","Heslo"
"Please, select some site from menu","Zvolte některou stránku z nabídky"
"Prev","Předchozí"
"Profile was deleted successfully","Profil byl odstraněn"
"Profile was saved successfully","Profil byl uložen"
"Requested method not found","Požadovaný způsob nenalezen"
"Retrieve Your Password","Obnovit heslo"
"Role was added successfully","Oprávnění byla přidána"
"Role was deleted successfully","Oprávnění byla odstraněna"
"Role was saved successfully","Oprávnění byla uložena"
"Roles","Oprávnění"
"Rules (Allow|Deny)","Pravidla (Umožnit|Zamítnout)"
"See your mailbox to proceed","Před pokračováním je třeba nahlédnout do emailové schránky"
"Select Site","Zvolte obchod"
"Select data to import","Zvolte importovaná data"
"Separate block","Samostatný blok"
"Separate template","Samostatná šablona"
"Set the primary language please","Nastavení výchozího jazyka správy"
"Show","Zobrazit"
"Site was deleted successfully","Obchod byla odstraněn"
"Site was saved successfully","Obchod byla uložen"
"Status was updated successfully %d item(s) was updated. %d item(s) was skipped","Úprava stavu dokončena, úspěšně %d záznam(ů), vynecháno %d záznam(ů)"
"Tab container","Pozice záložek"
"Template was deleted successfully","Šablona byla odstraněna"
"Template was exported successfully","Šablona byla exportována"
"Template was imported successfully","Šablona byla importována"
"Templates","Šablony"
"Upgrade to %s","Aktualizace na %s"
"Use global successfully","Souhrnné nastavení bylo použito"
"User was deleted successfully","Uživatel byl odstraněn"
"User was saved successfully","Uživatel byl uložen"
"Username","Uživatelské jméno"
"Users","Uživatelé"
"Value","Údaj"
"Visitors","Návštěvy"
"Week","Týden"
"Welcome","Přihlášený správce"
"Year","Rok"
"You do not have privileges to access this action.","Přidělená oprávnění neumoňují akci provést"
"You have no permission for this operation","Přidělená oprávnění neumoňují k činnosti přístup"
"Your session has been expired. Please relogin","Relace byla ukončena, přihlašení je třeba obnovit"
"Zone","Oblast"
"Reports","Přehledy"
"Marketing","Nástroje"
"Design Control","Vzhled"
"Pages","Stránky"
"Administrate","Nastavení"
"Site","Obchody"
"Admin users","Správci"
"Cache Management","Mezipaměť"
"Import/Export","Přenos dat"
"OsCommerce","OsCommerce"
"Cache","Mezipaměť"
"Design","Vzhled"
"Email address is required","Email je povinný"
"Password is required","Heslo je povinné"
"Password confirmation does not match","Zadaná hesla se neshodují"
"Password successfully changed","Heslo bylo změněno"
"Configuration option was saved successfully","Nastavení bylo uloženo"
"Save","Uložit"
"Cancel","Zrušit"
"Save and Continue Edit","Použít"
"%d new orders today, total %s","Dnešní objednávky: %d (celkem za %s)"
"%d new requests today","Dnešní vzkazy: %d"
"Create template","Vytvořit šablonu"
"Import template","Import šablony"
"Administrators","Správci obchodu"
"Update search indexes","Obnovit index vyhledávání"
"Payment Methods","Způsoby platby"
"Allowed Payment Zone","Dostupná platební pásma"
"Disallowed Shippings","Odepřené způsoby přepravy"
"Order Status on payment complete","Stav objednávky při uhrazené platbě"
"Maximum order total amount","Nejvyšší hodnota objednávky"
"Minimum order total amount","Nejnižší hodnota objednávky"
"Accept verification code","Přijímat ověřovací kód"
"Save credit card number action","Ukládat číslo platební karty"
"Save verification code","Ukládat ověřovací kód"
"Shipping Methods","Způsoby přepravy"
"Disallowed Payments","Odepřené možnosti platby"
"Allowed Shipping Zone","Dostupná pásma doručení"
"Accepted Credit Cards","Přijímané platební karty"
"Credits cards allowed to use with this payment method","Tento způsob platby umožňuje použití platební karty"
"Payment method will be available only for selected zone","Způsob platby bude dostupný pouze ve zvoleném pásmu"
"Selected shipping methods will be not available with this payment method","Zvolené způsoby přepravy budou s touto platební metodou nedostupné"
"Set the status of orders made with this payment module to this value","Stav objednávky s touto zvolenou platbou nastavit na"
"How would you like to save credit card number","Volba metody ukládání čísel platebních karet"
"Do you want to save cvv code?","Ukládat ověřovací CVV/CVC kód?"
"Shipping method will be available only for selected zone","Způsob platby bude dostupný pouze ve zvoleném pásmu"
"Selected payment methods will be not available with this shipping method","Zvolené platební metody budou s tímto způsobem přepravy nedostupné"
"Such user does not exists","Tento uživatel nebyl nalezen"
"Wrong password","Chybné heslo"
"You cannot delete yourself","Nelze odstranit vlastní účet"
"Display messages from service provider","Zobrazovat zprávy od poskytovatele služeb"
"Themes","Šablony obchodu"

"",""
"All sites","Všechny obchody"
