"Minimum Qty for Item's","Minimální množství položek"
"No categories found","Žádná kategorie nenalezena"
"Regular price","Běžná cena"
"Special price","Akční cena"
"You save","Ušetříte"
"Add to Compare","Porovnat"
"Add to Wishlist","K oblíbeným"
"Add to cart","Do košíku"
"Add","Přidat"
"Additional images","Doplňující obrázky"
"All Products","Všechny produkty"
"Attributes", "Parametry"
"Backorders","Doobjednávky"
"Base Image","Obrázek"
"Begin","Začátek"
"Catalog","Produkty"
"Categories","Kategorie"
"Category successfully saved","Kategorie byla uložena"
"Choose option","Volba varianty"
"Close","Zavřít"
"Code","Kód"
"Comparable","Porovnatelný"
"Compare","Porovnat"
"Data has been saved successfully","Údaje byly uloženy"
"Data was successfully saved","Údaje byly uloženy"
"Date Available","Dostupné datum"
"Description","Popis"
"Duplicate entry (url)","Duplicitní zápis (url)"
"Empty","Prázdný"
"End","Konec"
"Enter path","Zadat cestu"
"Featured","Doporučené"
"Filterable","Filtrovatelný"
"Grid","Mřížka"
"SEO url","SEO URL adresa"
"Image %s of %s","Obrázek %s z %s"
"Image SEO prefix","SEO předpona obrázku"
"Image","Obrázek"
"Invalid data recieved","Zadány neplatné hodnoty"
"Invalid parameter recieved. ProductId is required","Zadány neplatné údaje. ID produktu je vyžadováno"
"Item(s)","Položka(y)"
"Keywords","Klíčová slova"
"Language sensivity","###Jazyková citlivost"
"List","Seznam"
"Loading error","Loading error"
"Loading","Loading"
"Main Images","Hlavní obrázky"
"Manage stock","Správa zásob"
"Manufacturer was deleted successfully","Značka byla odstraněna"
"Manufacturer", "Značka"
"Maximum Qty Allowed","Nejvyšší povolené množství"
"Maximum allowed quantity is %d","Nejvyšší povolené množství je %d"
"Method %s not exist","Způsob %s nebyl nalezen"
"Minimum Qty Allowed","Nejnižší povolené množství"
"Minimum allowed quantity is %d","Nejnižší povolené množství je %d"
"Name","Název"
"Next","Další"
"No description available","Popis je nedostupný"
"Notify for Quantity Below","Upozornit na nízkou zásobu, pod"
"Only %d %s available","Dostupný pouze %d %s"
"Only %d %s","Pouze %d %s"
"Option Label","Název možnosti"
"Option was deleted successfully","Možnost byla odstraněna"
"Option was saved successfully","Možnost byla uložena"
"Out of stock","Vyprodáno"
"Please fill product url field","Zadejte URL produktu"
"Please, add products for comparation","Zvolte produkty k porovnání"
"Prev","Předchozí"
"Preview","Náhled"
"Price","Cena"
"Product %s not found","Produkt %s nenalezen"
"Product Attributes","Parametry"
"Product Comparison","Porovnání produktů"
"Product is out of stock","Produkt je dočasně vyprodán"
"Product not found","Product nenalezen"
"Product url not saved. Duplicate entry url","URL produktu nebyla z důvodu duplicity uložena"
"Products Catalog","Katalog produktů"
"Products","Produkty"
"Qty Uses Decimals","Používat desetiny"
"Quantity","Množství"
"Quick Overview","Upoutávka"
"Remove filter","Odstranit filtrování"
"Remove item","Odstranit položku"
"Remove","Odstranit"
"SEO","SEO"
"Sku","Kód"
"Save","Uložit"
"Search indexes updated successfully","Index vyhledávání byl obnoven"
"Searchable","Vyhledatelný"
"Set product as new From","Novinka od"
"Set product as new To","Novinka do"
"Short Description","Upoutávka"
"Show per page","Produktů na stránce"
"Sort ascending","Vzestupně"
"Sort by","Seřadit podle"
"Sort descending","Sestupně"
"Sort Order","Sort Order"
"Special Price From", "Akční cena od"
"Special Price To","Akční cena do"
"Status to be Out of Stock","Stav na Vyprodáno"
"Status","Stav"
"Stock Availability","Skladem"
"Tax Class","Sazba daně"
"There are no products matching your request","Zadané požadavky žádný produkt nesplňuje"
"Thumbnail Image","Miniatura"
"Title","Název"
"Type","Typ"
"Upload image","Nahrát obrázek"
"Value Set","Sada parametrů"
"Value Sets", "Sady parametrů"
"Value sets", "Sady parametrů"
"Value was deleted sucessfully","Parametr byl odstraněn"
"Value Set not found","Sada parametrů nenalezena"
"Value Set was deleted sucessfully","Sada parametrů odstraněna"
"View mode","Způsob zobrazení"
"Weight","Hmotnost"
"Only %d item(s) are available", "Dostupný je pouze %d produkt(ů)"
"Store hottest products","Nejdůležítější produkty obchodu"
"Popular products","Nejpopulárnější produkty"
"No products found","Žádný produkt nenalezen"
"Bestsellers","Nejprodávanější produkty"
"Filters","Filtry"
"New products","Nové produkty"
"Product Catalog","Katalog"
"Product Brands","Značky"
"Add Product","Přidat produkt"
"Add Category","Přidat kategorii"
"Images","Obrázky"
"Cache","Mezipaměť"
"Cache path","Cesta k mezipaměti"
"Catalog route","Cesta ke katalogu"
"Default product count per page","Výchozí počet produktů na stránce"
"Enabled","Zapnuto"
"Hurl world delimiter","oddělovač slov v URL"
"Image path","Cesta k obrázku"
"Large height","Výška obrázku"
"Large width","Šířka obrázku"
"Lens cursor","Kurzor lupy"
"Lens opacity","Průhlednost vrstvy lupy"
"Lightbox fade speed","Rychlost blednutí Lightboxu"
"Lightbox resize speed","Rychlost změny velikosti Lightboxu"
"Lightbox trigger","Aktivace Lightboxu"
"Mask opacity","Průhlednost krycí vrstvy"
"Opacity","Průhlednost"
"Product Info height","Výška infoboxu produktu"
"Product Info width","Šířka infoboxu produktu"
"Repeat","Opakovat"
"SEO Description Length (45 -150 chars)","Délka META popisu (45 -150 znaků)"
"Small height","Výška náhledu"
"Small width","Šířka náhledu"
"Switch image trigger","Aktivace výměny obrázku"
"Thumbnail image height","Výška miniatury"
"Thumbnail image width","Šířka miniatury"
"Watermark Position","Umístění vodoznaku"
"Zoom off trigger","Deaktivace lupy"
"Zoom on trigger","Aktivace lupy"
"Zoomer height","Výška přiblížené oblasti"
