"'%s' method not found among installed modules","Mezi instalovanými moduly nebyla způsob '%s' nalezen"
"Already registered?","Registrovaný zákazník?"
"Card Number","Číslo platební karty"
"Card Owner's Name","Jméno na platební kartě"
"Checkout as Guest","Objednat bez registrace"
"Checkout as a Guest or Register","Nový účet nebo pokračovat bez registrace"
"Credit Card Type","Typ platební karty"
"Credit Card","Platební karta"
"Cvv","Ověřovací kód"
"Easy access to your order history and status","Rychlý přístup k historii a stavu objednávek"
"Expiration Date","Datum vypršení platnosti"
"Fast and easy check out","Rychlé a snadné objednání"
"Login","Přihlášení"
"Login/Register","Přihlášení / Registrace"
"Make Check payable to","Vytvořit šek splatný na jméno"
"Only %s item(s) of '%s' are available","Je dostupných pouze %s položek z '%s'"
"Paypal IPN Invalid %s.","Neplatné Paypal IPN ověření %s."
"Please login","Přihlášení uživatele"
"Product '%s' is not found in stock. product_id = %s","Produkt '%s' je dočasně doprodán, ID produktu = %s"
"Product '%s' is out of stock","Produkt '%s' je dočasně doprodán"
"Received IPN verification","Ověření IPN přijato"
"Register and save time!","Registrací uspoříte čas!"
"Register with us for future convenience","Registrujte se kvůli vlastnímu pohodlí"
"Register","Registrovat"
"Send Check to","Příjemce šeku"
"Thank You! We Appreciate your Business!","Děkujeme! Vašeho nákupu si ceníme!"
"Thank you for shopping. Please click the Log Off link to ensure that your receipt and purchase information is not visible to the next person using this computer.","Pokud již odcházíte z našich stránek, doporučujeme kliknutím na odkaz Odhlásit znemožnit ostatním osobám používající tento počítač přístup k uloženým informacím ve vašem účtu."
"Transaction in sale mode","Transakce v ostrém režimu"
"Your Order Number is","Číslo objednávky je"
"Add new address","Přidat novou adresu"
"Billing Address","Fakturační adresa"
"CC Number","Číslo karty"
"CC Owner","Vlastník karty"
"CVV Help","Nápověda"
"Cart is empty","Košík neobsahuje žádné produkty"
"Change Address","Změnit adresu"
"Change Payment Method","Change Payment Method"
"Checked","Ověřeno"
"Checkout Onepage","Dokončení objednávky"
"Checkout Success","Objednávka odeslána"
"Checkout Wizard","Průvodce objednáním"
"Checkout","Dokončení objednávky"
"Checkout Process","Dokončení objednávky"
"Confirm your order","Potvrzení objednávky"
"Create Order","Vytvořit objednávku"
"Confirmation","Potvrzení"
"Continue shopping","Pokračovat v nákupu"
"Continue","Pokračovat"
"Create New Address","Přidat novou adresu"
"Create/Edit Address","Přidat či upravit adresu"
"Delivery Address","Doručovací adresa"
