"Categories/Pages","Stránky"
"Category was deleted successfully","Kategorie byla odstraněna"
"Category was saved successfully","Kategorie byla uložena"
"Comment successfully added","Komentář byl uložen"
"Comments","Komentáře"
"Leave your comment","Přidat komentář"
"Page Comments","Komentáře"
"Page not found","Stránka nenalezena"
"Page was deleted successfully","Stránka byla odstraněna"
"Page was saved successfully","Stránka byla uložena"
"Pages","Stránky"
"Static Blocks","Obsahové bloky"
"Block %s not found","Blok %s nenalezen"
"CMS","Obsah"
"Uncategorized Pages","Nekategorizované"

"About Us","Informace o obchodu"
