"Home","Přehled"
"Can't open file with write permissions : %s","Soubor '%s' nelze otevřít s právy k zápisu."
"Can't upgrade module to %s. Upgrade file not found","Aktualizaci modulu '%s' nelze provést. Aktualizační soubor nebyl nalezen."
"Can't write content to file :%s","Do souboru '%s' nelze vkládat obsah."
"Config field '%s' was not found","Konfigurační údaj '%s' nebyl nalezen."
"Directory %s not readable","Obsah adresáře '%s' nelze číst."
"Incorect filename %s","Nesprávný název souboru '%s'."
"Installation file not found for '%s'","Instalační soubor pro '%s' nebyl nalezen."
"Item(s)","Položka(y)"
"Module '%s' is installed already","Modul '%s' je již nainstalován."
"Module '%s' is required by '%s', but can't be installed","Modul '%s' je vyžadován '%s', ale nelze jej nainstalovat."
"Module '%s' was successfully installed","Modul '%s' byl nainstalován."
"Module '%s', (version %s %s) is required by '%s', but can't be upgraded","Modul '%s' o verzi '%s %s' je vyžadován '%s', ale nelze jej aktualizovat."
"Powered by %s v.%s","%s verze %s"
"Report any %s you've found","Oznámit nalezené %s."
"An error has occured processing your request","Při zpracování požadavku došlo k chybě."
"Billing Address","Fakturační adresa"
"Box was saved successfully","Box byl uložen."
"Bugs or Issues","problémy a chyby"
"Cannot open file with write permissions","Soubor nelze otevřít s právy k zápisu."
"Close Window","Zavřít okno"
"Config file is corrupted","Konfigurační soubor je poškozen"
"Copyright © 2008, Axis, Inc. All Rights Reserved","Copyright ©2008 Axis Inc., všechna práva vyhrazena"
"Copyright","Copyright"
"Data was saved successfully","Údaje byly uloženy"
"Date","Datum"
"Dear","Vážený"
"Delivery Address","Doručovací adresa"
"Dir %s not exist","Adresář %s neexistuje."
"E-mail","Email"
"Error write file : %s dir chmod 755 need","Chyba při zápisu souboru '%s'. CHMOD adresáře musí být 755"
"File already exist","Soubor již existuje"
"Filename","Název souboru"
"If you feel that you have received this email in error, please send an email to","Pokud jste obdržel(a) tuto zprávu omylem, tak nás prosím kontaktujte na adresa emailu"
"If you want to change your password, go to %s","Chcete-li změnit heslo, přejděte na %s."
"If you want to change your password, go to <a href="%s">Change password</a>","Chcete-li změnit heslo, <a href="%s">klikněte zde</a>."
"Incorrect field path","Nesprávná cesta k údaji."
"Latest version of module is already installed","Nejnovější verze modulu je již instalována."
"Login","Přihlášení"
"Message was sended to you. Check your mailbox","Zpráva byla odeslánana. Přijetí lze ověřit kontrolou nových zpráv."
"Module is not installed yet","Modul není nainstalován"
"Module was successfully uninstalled","Modul byl odinstalován"
"No data to save","Není co uložit"
"Notice","Poznámka"
"Order","Objednávka"
"Password","Heslo"
"Report","Souhrn"
"Required fields are missing","Chybí povinné údaje"
"See Details Info","Prohlédnout podrobné informace"
"Shipping","Přeprava"
"Shipping Method","Způsob přepravy"
"Sites","Stránky"
"Template not found","Šablona nebyla nalezena"
"Template was saved successfully","Šablona byla uložena"
"Thank you for your order from %s","Děkujeme za Vaší objednávku z %s"
"This email address was given to us by you or by one of our customers.","Emailové adresy příjemců jsou získávány pouze od našich uživatelů."
"This link is valid for only 24 hours.","Odkaz je platný pouze 24 hodin."
"This is reply on your letter to us","Tento email je odpovědí na přijatou zprávu"
"To log in when visiting our site just click","Při navštívení obchodu se lze přihlásit kliknutím"
"Trace","Sledování"
"Uninstall file not found","Odinstalační soubor nebyl nalezen"
"Name","Název společnosti"
" %s is not writable"," %s není zapisovatelný."
"Mail was sended successfully","Zpráva byla odeslána."
"Mail sending was failed.","Odeslání emailu se nezdařilo."
"Please repeat the same password","Zopakujte heslo ještě jednou"
"'%value%' has not only alphabetic and digit characters","'%value%' smí obsahovat pouze základní znaky abecedy a číslice"
