"Add","Přidat"
"Attribute","Parametr"
"Date","Datum"
"Price","Cena"
"Product (id)","ID Produktu"
"Product date","Datum produktu"
"Product price","Cena produktu"
"Add New Discount","Přidat nové pravidlo"
"Customer Groups","Skupina uživatelů"
"Discount '%s' successefull saved","Pravidlo '%s' úspěšně uloženo"
"Discount Name","Název pravidla"
"Discount Priority","Priorita pravidla"
"Discount type","Typ pravidla"
"Discounts","Pravidla"
"Edit Discount","Upravit pravidlo"
"Date from","Platnost od"
"Is Combined","Kombinace"
"Show All","Zobrazit vše"
"Show only Special","Zobrazit pouze Speciální"
"Show without Special ","Zobrazit bez Speciálních "
"Status","Stav"
"To Date","Platnost do"
"Update value","Upravit hodnotu"
"You can not use those symbols","Tyto symboly nelze použít"
"Season sale","Sezónní výprodej"
"General","Základní"
"Additional Conditions","Doplňující podmínky"
