"Google Base","Google Base"
"Application","Aplikace"
"Connection type","Typ připojení"
"dryRun","dryRun"
"Item type","Typ položky"
"Link products to","Propojit produkty s"
"Login","Uživatel"
"Password","Heslo"
"Payment","Platba"
"Payment notes","Poznámky k platbě"
"General","Základní"
"Set 'Yes' for testing, 'No' for production","Pro testování nastavte 'Ano', pro ostrý provoz 'Ne'"
"Name of the application that last modified this item.\r\nAll applications should set this attribute whenever they insert or update an item. Recommended format : Organization-ApplicationName-Version","Název aplikace, kterou byla tato položka naposledy upravována.\r\nVšechny aplikace by měli tento atribut při vkládání nebo úpravách nastavit. Doporučený formát : Organizace-NázevAplikace-Verze"
"If you want to use GoogleBase pages as landing page for your items, or you can't give the link to your webstore - select Google Base, otherwise - select Website.","Pro úvodní zobrazení produktu v aplikaci GoogleBase nebo pokud nelze vložit odkaz na eshop, zvolte GoogleBase, jinak zvolte Website"
"Type of your products. Read this for more information http://code.google.com/apis/base/starting-out.html#ItemTypes","Typ produktu. Více informací na http://code.google.com/apis/base/starting-out.html#ItemTypes"
"Let your customers buy with all major credit cards","Poskytnout možnost platby všemi hlavními platebními kartami"
"Login type. For ClientLogin fill login and password fields. For AuthSub you will have to enter login and password manually","Způsob přihlášení. Pro ClientLogin zadejte uživatele a heslo. Při AuthSub budete zadávat údaje manuálně"
"Your google account to submit products","Název Google účtu odesílající produkty"
"Password to google account","Heslo ke Google účtu"
