"License agreements","Licenční ujednání"
"Server requirements","Nastavení serveru"
"Localization","Lokalizace"
"Installation Process","Postup instalace"
"Store configuration","Nastavení obchodu"
"Setup admin account","Nastavení účtu správce"
"Modules","Moduly"
"All done","Instalace dokončena"
"Server Capabilities","Funkce serveru"
"PHP Version","Verze PHP"
">= 5.2",">= 5.2"
"PHP Settings","Nastavení PHP"
"Off","Vypnuto"
"On","Zapnuto"
"Magic quotes","Magic quotes"
"File uploads","File uploads"
"Session autostart","Session autostart"
"Session use trans SID","Session use trans SID"
"PHP Extensions","PHP rozšíření"
"Loaded","Načteno"
"Not Loaded","Nenačteno"
"Writable","Zapisovatelný"
"Not Writable","Nelze zapisovat"
"Enabled","Zapnuto"
"Disabled","Vypnuto"
"Can't connect to database. Check server name, username or user password","K databázi se nelze se připojit. Prověřte název serveru, uživatelské jméno a heslo"
"Can't select this database, check database name","Tuto databázi nelze zvolit, zadejte znovu její název"
"Fill all required fields please","Vyplňte všechny povinné údaje"
"Config file is not writable at %s","Konfigurační soubor v %s není zapisovatelný"
"Please enable JavaScript in your browser.","Povolte Javascript ve Vašem prohlížeči."
"Language","Jazyk"
"Copyright © %s, Axis, Inc. All Rights Reserved","Copyright © %s, Axis, Inc. Všechna práva vyhrazena"
"Database connection","Připojení k databázi"
"Database Server","Databázový server"
"The address of the database server in the form of a hostname or IP address","Název nebo IP adresa databázového serveru"
"Database Name","Název databáze"
"The name of the database to hold the data in","Název databáze určené pro ukládání dat obchodu"
"Table prefix","Předpona tabulek"
"Username","Uživatelské jméno"
"The username used to connect to the database server","Jméno uživatele s oprávněním k připojení k databázovému serveru"
"Password","Heslo"
"The password that is used together with the username to connect to the database server","Heslo k zadanému uživatelskému jménu"
"Web access options","Nastavení URL adres"
"Base Url","Základní URL adresa"
"Frontend Url","URL adresa obchodu"
"Admin Path","Cesta ke správě"
"Administrative panel path","Cesta ke konzoli správce"
"Use Secure URLs (SSL)","Používat bezpečné URL (SSL)"
"Secure Url","Bezpečná URL"
"Site secure url","Bezpečná URL adresa obchodu"
"Encription Key","Šifrovací klíč"
"Key that will be used to encrypt private data like passwords, usernames, credit cards etc.","Šifrovací klíč je používán k dešifrování osobních uživatelských údajů, jako jsou hesla, uživatelská jména, čísla platebních karet apod."
"Locale","Národní prostředí"
"Timezone","Časové pásmo"
"Currency","Měna"
"Standard setup","Standardní instalace"
"Advanced setup","Pokročilá instalace"
"No modules found","Moduly nenalezeny"
"Email","Email"
"Firstname","Jméno"
"This name you will need to access to store backend","Tímto Uživatelským jménem se budete přihlašovat do správy obchodu"
"Lastname","Příjmení"
"License","Licenční smlouva"
"Requirements","Serverové požadavky"
"Server configuration doesn't meet the Axis needs","Současné nastavení serveru nesplňuje pro instalaci potřebná kritéria"
"Configuration","Nastavení"
"Admin User Settings","Nastavení účtu správce"
"Installation Mode","Režim instalace"
"Axis was successfully installed","Axis byl nainstalován"
"Title","Název"
"Expected Value","Požadované nastavení"
"Server Value","Současné nastavení serveru"
"Success","OK"
"Continue","Pokračovat"
"Back","Zpět"
"Refresh","Obnovit"
"Accept and Continue","Přijmout a pokračovat"
"Default locale settings","Výchozí prostředí"
"Additional locales","Další dostupná prostředí"
"Add Locale","Přidat prostředí"
"Add Currency","Přidat měnu"
"Install","Instalovat"
"Hide required","Skrýt požadované volby"
"Hide catalog","Skrýt katalog"
"Hide payment","Skrýt platbu"
"Hide shipping","Skrýt přepravu"
"Administrator account","Účet správce obchodu"
"Report any %s you've found","Oznamte nám jakékoliv %s, na které narazíte"
"Report","Oznámit"
"Bugs or Issues","chyby a problémy"
"Go to %s","Přejít do %s"
"Frontend","Uživatelská část"
"Backend","Správa obchodu"
"Crypt key","Šifrovací klíč"
"Installing. Please wait...","Probíhá instalace, čekejte prosím..."
"Your server must have mod_rewrite module loaded to go futher","Na serveru musí být instalován a povolen mod_rewrite"
"File Permissions","Souborová oprávnění"
"IMPORTANT! Make sure you keep it in a safe place.","UPOZORNĚNÍ! Uložte jej na bezpečném místě."
