"Authorization Type","Typ ověření"
"Customer Notification","Oznámení zákazníkovi"
"Gateway URL","URL brány"
"Login Id","Přihlašovací ID"
"Merchant Email","Email obchodníka"
"Test Mode","Testovací režim"
"Title","Název"
"Transaction Key","Transakční klíč"
"Authorize.Net Aim","Authorize.Net cíleně"
"Authorize.Net","Authorize.Net"
"Do you want submitted credit card transactions to be authorized only, or authorized and captured?","Odeslané transakce platební kartou mají být pouze ověřeny nebo ověřeny a zpracovány?"
"Should Authorize.Net email a receipt to the customer?","Zaslat uživateli doklad emailem od Authorize.Net?"
"The API Login ID used for the Authorize.net service","Přihlašovací ID ke službě API Authorize.net"
"Transaction Key used for encrypting TP data (See your Authorizenet Account->Security Settings->API Login ID and Transaction Key for details.)","Transakční klíč pro šifrování TP dat (Podrobnosti na Authorize.net -> Účet uživatele -> Nastavení zabezpečení -> Přihlašovací ID k API a Transakční klíč.)"

"",""
