"Can't buy %s with qty %s","Produkt %s nelze v počtu %s ks zakoupit"
"New order status create : %s","Nový stav objednávky změněn : %s"
"Order status  %s upload","Stav objednávky  %s nahrát"
"Order status not exist","Stav objednávky nenalezen"
"Order status was changed to %s","Stav objednávky byl změněn na %s"
"Product can't be shipped. Name: %s, Sku: %s","Produkt %s s kódem %s nelze zasílat"
"Relation no change. Order status %s is SYSTEM ","Nedošlo k žádným změnám. Stav objednávky %s je SYSTEM "
"Actions","Činnosti"
"Backorder","Doobjednávky"
"Bill to","Plátce"
"Billing","Platba"
"Comments","Komentáře"
"Customer Notified","Uživatel upozorněn"
"Customer email","Email uživatele"
"Date added","Datum vložení"
"Date","Datum"
"Delivery","Doručení"
"Fax","Fax"
"Grand Total","Celkový součet"
"Id","ID"
"Ip","IP"
"Name","Jméno"
"No data to print","Nic k vytištění"
"Order Date","Datum objednání"
"Order Number","Čislo objednávky"
"Order Status","Stav objednávky"
"Order Subtotal","Mezisoučet objednávky"
"Order Total","Celkem objednáno za"
"Order not found","Objednávka nenalezena"
"Order status %s already exist","Stav objednávky %s již existuje"
"Order was deleted successfully","Objednávka byla odstraněna"
"Order","Objednávka"
"Orders","Objednávky"
"Payment Method","Způsob platby"
"Payment","Platba"
"Phone","Telefon"
"Order #%s, Credit card middle digits: %s","Objednávka č.%s, prostřední čísla platební karty: %s"
"Price","Cena"
"Products","Produkty"
"Qty","Množství"
"Relation not exist %s <=> %s","Vazba nenalezena %s <=> %s"
"Ship to","Příjemce"
"Shipping","Přeprava"
"Shipping & Handling","Přepravné a balné"
"Shipping Method","Způsob přepravy"
"Shipping Tax","DPH přepravného"
"Site","Strana"
"Sold to","Prodat"
"Status not exist","Stav nenalezen"
"Status was deleted successfully","Stav byl odstraněn"
"Status was saved successfully","Stav byl uložen"
"Tax","DPH"
"Total Shipping Charges","Přepravné celkem"
"Total","Celkem"
"Undefined","Neurčeno"
"View All","Zobrazit vše"
"View","Zobrazit"
"edit","upravit"
"new window","nové okno"
"Recent Orders","Poslední objednávky"
"No orders found","Objednávky nenalezeny"
"Order statuses","Stavy objednávky"
"Sales","Prodej"
"Default Order Status","Výchozí stav objednávky"
"Order notifications reciever","Příjemce objednávkových upozornění"
"Pattern for Custom Order Number","Vzor vlastního čísla objednávky"
"Prefix for Custom Order Number","Předpona vlastního čísla objednávky"
"All notifications about new orders will be sended to this email","Upozornění na novou objednávku budou zasílána na tento e-mail"
"Order created","Objednávka vytvořena"
"Your order","Vaše objednávka"
"All Time Sales","Objednávky celkem"
"Today Sales","Objednávky dnes"
"Average Order Total","Průměrná objednávka"
"Conversion rate","Úspěšnost"
"Order Information","Detaily objednávky"
"An order has been created on %s","Objednávka byla pořízena v %s"
"Status of your order has been changed","Stav Vaší objednávky byl změněn"
"Your order #%s status has been changed to %s","Stav Vaší objednávky č.%s byl změněn na '%s'"
"You can check the status of your order by <a %s>logging into your account</a>","Stav objednávky můžete kontrolovat po <a %s>přihlášení ke svému účtu</a>"
"You can check the status of your order by logging into your account","Stav objednávky můžete kontrolovat po přihlášení ke svému účtu"
"Order #%s. Credit card number","Objednávka č.%s. Číslo platební karty"
"Subtotal","Mezisoučet"
