"Can't create folder %s. Permission denied","Adresář %s nelze vytvořit, přístup byl odepřen"
"Can't write to folder %s. Permission denied","Do adresáře %s nelze zapisovat, přístup byl odepřen"
"Search results for '%s'","Hodnota '%s' nalezena v:"
"Advanced Search","Pokročilé vyhledávání"
"All result","Všechny výsledky"
"Item(s)","Produkt(ů)"
"Please, update search indexes, to enable search functionality","S povolením vyhledávání je třeba obnovit index vyhledávání"
"Search entire store...","Hledat v celém obchodu..."
"Search returns no results","Hledání bylo bezvýsledné"
"Search","Hledat"
"Searches last month","Hledané v posledním měsíci"
"Searches last week","Hledané v posledním týdnu"
"Searches today","Hledané dnes"
"Searches with null result","Bezvýsledná hledání"
"Show per page","Zobrazit na stránku"
"Search Queries","Hledané hodnoty"

"%d of %d items(s) was processed","Bylo zpracováno %d z %d záznamů"
