"Account Id","ID účtu"
"Dropoff","Dropoff"
"Fedex Gateway Url","URL Fedex brány"
"Handling Fee","Manipulační poplatek"
"Package","Zásilka"
"Residential Delivery","Soukromá adresa"
"UPS Weight Unit","UPS Jednotka hmotnosti"
"Fedex Express","Fedex Express"
"Fedex","Fedex"
"Allowed methods","Dostupné způsoby"
"Title","Název"
"PRIORITYOVERNIGHT - Priority Overnight, STANDARDOVERNIGHT - Standard Overnight, FIRSTOVERNIGHT - First Overnight, FEDEX2DAY - 2Day,FEDEXEXPRESSSAVER - Express Saver,INTERNATIONALPRIORITY - International Priority,INTERNATIONALECONOMY - International Economy,INTERNATIONALFIRST - International First,FEDEX1DAYFREIGHT - 1 Day Freight, FEDEX2DAYFREIGHT - 2 Day Freight, FEDEX3DAYFREIGHT - 3 Day Freight, FEDEXGROUND - Ground, GROUNDHOMEDELIVERY - Home Delivery, INTERNATIONALPRIORITY FREIGHT - Intl Priority Freight, INTERNATIONALECONOMY FREIGHT - Intl Economy Freight, EUROPEFIRSTINTERNATIONALPRIORITY - Europe First Priority","PRIORITYOVERNIGHT - Priority Overnight, STANDARDOVERNIGHT - Standard Overnight, FIRSTOVERNIGHT - First Overnight, FEDEX2DAY - 2Day,FEDEXEXPRESSSAVER - Express Saver,INTERNATIONALPRIORITY - International Priority,INTERNATIONALECONOMY - International Economy,INTERNATIONALFIRST - International First,FEDEX1DAYFREIGHT - 1 Day Freight, FEDEX2DAYFREIGHT - 2 Day Freight, FEDEX3DAYFREIGHT - 3 Day Freight, FEDEXGROUND - Ground, GROUNDHOMEDELIVERY - Home Delivery, INTERNATIONALPRIORITY FREIGHT - Intl Priority Freight, INTERNATIONALECONOMY FREIGHT - Intl Economy Freight, EUROPEFIRSTINTERNATIONALPRIORITY - Europe First Priority"
"REGULARPICKUP - Regular Pickup, REQUESTCOURIER - Request Courier, DROPBOX - Drop Box, BUSINESSSERVICECENTER - Business Service Center, STATION - Station","REGULARPICKUP - Pravidelný sběr, REQUESTCOURIER - Vyžádání kurýra, DROPBOX - Schránka, BUSINESSSERVICECENTER - Obchodní centrum, STATION - Stanoviště"
"FEDEXENVELOPE - FedEx Envelope, FEDEXPAK  - FedEx Pak, FEDEXBOX - FedEx Box, FEDEXTUBE - FedEx Tube, FEDEX10KGBOX - FedEx 10kg Box, FEDEX25KGBOX - FedEx 25kg Box, YOURPACKAGING - Your Packaging","FEDEXENVELOPE - FedEx Obálka, FEDEXPAK  - FedEx balíček, FEDEXBOX - FedEx krabice, FEDEXTUBE - FedEx tuba, FEDEX10KGBOX - FedEx 10kg krabice, FEDEX25KGBOX - FedEx 25kg krabice, YOURPACKAGING - Vaše balení"
"LBS or KGS","Libry nebo kilogramy"
