"UPS Next Day Air Early A.M.","UPS zítra brzy dopoledne - letecky"
"UPS Next Day Air","UPS zítra - letecky"
"UPS Second Day Air","UPS pozítří - letecky"
"UPS Three-Day Select","UPS tři dny - letecky"
"UPS Ground","UPS pozemní přeprava"
"Ups","UPS"
"UPS Worldwide Express Plus","UPS Express Plus celosvětově"
"UPS Worldwide Express","UPS Express celosvětově"
"UPS Saver","UPS Úsporně"
"UPS Worldwide Expedited","UPS Spěšně celosvětově"
"boxWeightDisplay","Zobrazit hmotnost krabice"
"Enable Negotiated Rates","Povolit smluvní ceny"
"Gateway Url","URL brány"
"Gateway XML URL","URL XML brány"
"Handling Fee","Manipulační poplatek"
"Origin of the shipment","Původ zásilky"
"Residential Delivery?","Soukromá adresa?"
"Shipper Number","Číslo přepravce"
"UPS Packaging?","UPS balení?"
"UPS Pickup Method","UPS Způsob vyzvednutí"
"UPS Type","UPS Typ"
"UPS Weight Unit","UPS jednotka hmotnosti"
"XML Access License Number","XML přístup"
"XML Account Password","XML Account Password"
"XML Account User Id","XML Account User Id"
"Ups Standard","UPS Standard"
"Allowed Shipping Methods","Dostupné způsoby přepravy"
"Title","Název"
"Select the UPS services to be offered. : <br />Nxt AM, Nxt AM Ltr, Nxt, Nxt Ltr, Nxt PR, Nxt Save, Nxt Save Ltr, 2nd AM, 2nd AM Ltr, 2nd, 2nd Ltr, 3 Day Select, Ground, Canada,World Xp, World Xp Ltr, World Xp Plus, World Xp Plus Ltr, World Expedite, WorldWideSaver.","Zvolte UPS službu z nabízených: <br />Nxt AM, Nxt AM Ltr, Nxt, Nxt Ltr, Nxt PR, Nxt Save, Nxt Save Ltr, 2nd AM, 2nd AM Ltr, 2nd, 2nd Ltr, 3 Day Select, Ground, Canada,World Xp, World Xp Ltr, World Xp Plus, World Xp Plus Ltr, World Expedite, WorldWideSaver."
"Variants: 0, 1 or 2 ","Varianty: 0, 1 or 2 "
"Quote for Residential (RES) or Commercial Delivery (COM)","Při rezidenčním (soukromém) doručení zadejte (RES) nebo při komerčním (COM)"
"CP - Your Packaging, ULE - UPS Letter, UT - UPS Tube, UBE - UPS Express Box","CP - Vlastní balení, ULE - UPS dopis, UT - UPS tuba, UBE - UPS Express balík"
"How do you give packages to UPS? CC - Customer Counter, RDP - Daily Pickup, OTP - One Time Pickup, LC - Letter Center, OCA - On Call Air","Jak předáte zásilku UPS? CC - Zákaznické centrum, RDP - Každodenní svoz, OTP - Jednorázový svoz, LC - dopisní centrum, OCA - Na zavolání"
"CGI or XML","CGI nebo XML"
"LBS or KGS","LBS nebo KGS"
