"Engines","Poskytovatelé"
"Not used","Nepoužito"
"Products","Produkty"
"Results","Výsledky"
"Site Map All Pages","Přehled všech stránek"
"Site Map All Products","Přehled všech produktů"
"Site Map Categories","Přehled všech kategorií"
"Sitemap","Mapa stránek"
"Ask Ping Url","Ping URL adresa na Ask"
"Enabled","Povoleno"
"Frequency","Frekvence"
"Google Ping Url","Ping URL adresa na Google"
"Msn Ping Url","Ping URL adresa na MSN"
"Priority","Priorita"
"Show pages","Zobrazit stránky"
"Start Time","Čas spuštění"
"Yahoo Ping Url","Ping URL adresa na Yahoo"
"Categories Options","Volby kategorií"
"CMS Pages Options","Volby CMS stránek"
"General","Obecné"
"Products Options","Volby produktů"
"The priority of this URL relative to other URLs on your site.Valid values range from 0.0 to 1.0","Relativní priorita této URL k ostatním URL tohoto obchodu. Platný rozsah od 0.0 do 1.0"
"Show pages on sitemap page","Zahrnout stránky v mapě stránek"
