"Products associated with tag '%s'","Produkty označené štítkem '%s'"
"Tag '%s' was successfully added to product","Produkt byl označen štítkem '%s'"
"Your tag '%s' is already added to this product","Štítkem '%s' je produkt již označen"
"Add Tags","Přidat štítky (tagy)"
"Add multiple tags separated by commas","Štítky oddělujte čárkou"
"Customer tags","Uživatelské štítky"
"No tags found","Žádné štítky nenalezeny"
"Remove item","Odstranit položku"
"Tags","Štítky"
"There are no products matching your request","Dotazu neodpovídá žádný produkt"
"Remove tag from this product","Odstranit štítek tomuto produktu"
"My Tags","Moje štítky"
"Product Tags","Štítky produktu"
"Tag","Štítek"
"Default customer tag status","Výchozí stav štítku uživatele"
"Default guest tag status","Výchozí stav štítku hosta"
"General","Obecné"
"Default tag status added by registered customer","Výchozí stav štítku přidaného registrovaným uživatelem"
"Default tag status added by guest","Výchozí stav štítku přidaného neregistrovaným návštěvníkem"
