"Tax Classes","Sazby DPH"
"Tax Rates","Hodnoty DPH"
"Tax","DPH"
"Shipping TaxBasis","Výpočet DPH přepravného"
"Shipping TaxClass","Sazba DPH přepravného"
"TaxBasis","Výpočet DPH dle"
"General","Obecné"
"Shipping Tax","DPH přepravného"
"Tax Basis","Výpočet DPH dle"
"Tax Class","Sazba DPH"
"Address that will be used for tax calculation","Adresa, která bude použita pro výpočet DPH"
"Tax class that will be used for tax calculation","Sazba DPH, která bude použita pro výpočet daně"
"Address that will be used for shipping tax calculation","Adresa, která bude použita pro výpočet DPH přepravného"
"Tax class that will be used for shipping tax calculation","Sazba DPH, která bude použita pro výpočet daně"
