"'%s' was not found in database","'%s' was not found in database"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Can't save customer","Can't save customer"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"New Customers","New Customers"
"Registered Customers","Registered Customers"
"Welcome, %s %s","Welcome, %s %s"
"Account settings successfully updated","Account settings successfully updated"
"Account","Account"
"Action","Action"
"Actions","Actions"
"Add Address","Add Address"
"Add new address","Add new address"
"Saving address","Saving address"
"Added on","Added on"
"Address Book","Address Book"
"Address","Address"
"Attributes","Attributes"
"Auth","Auth"
"Billing Address","Billing Address"
"Change Info","Change Info"
"Change account info","Change account info"
"Change password","Change password"
"City","City"
"Comment","Comment"
"Company","Company"
"Confirm new password","Confirm new password"
"Copy To Cart","Copy To Cart"
"Country","Country"
"Create an Account","Create an Account"
"Created Date","Created Date"
"Customer Group","Customer Group"
"Search history","Search history"
"Custom Customer Fields","Custom Customer Fields"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Default billing","Default billing"
"Default shipping","Default shipping"
"Delete address?","Delete address?"
"Delete","Delete"
"Delivery Address","Delivery Address"
"Edit Customer","Edit Customer"
"Edit address","Edit address"
"Edit","Edit"
"Email","Email"
"Final price","Final price"
"Firstname","Firstname"
"Forgot Your Password?","Forgot Your Password?"
"Forgot password","Forgot password"
"Forgot","Forgot"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information."
"Group was saved successfully","Group was saved successfully"
"Hello, %s","Hello, %s"
"Id","Id"
"Information","Information"
"Items Ordered","Items Ordered"
"Lastname","Lastname"
"Log in or create an account","Log in or create an account"
"Login","Login"
"Logout","Logout"
"Manage Customer Groups","Manage Customer Groups"
"Manage Customers","Manage Customers"
"Modified Date","Modified Date"
"Move To Cart","Move To Cart"
"My Account","My Account"
"My Orders","My Orders"
"My Tags","My Tags"
"My Wishlist","My Wishlist"
"Name","Name"
"New password","New password"
"Newletter","Newletter"
"No primary address found","No primary address found"
"Password confirmation does not match","Password confirmation does not match"
"Password is the required field","Password is the required field"
"Password","Password"
"Payment Method","Payment Method"
"Personal Information","Personal Information"
"Price","Price"
"Primary Billing Address","Primary Billing Address"
"Primary Delivery Address","Primary Delivery Address"
"Print","Print"
"Product","Product"
"Quantity","Quantity"
"Recieved hash is corrupted.","Recieved hash is corrupted."
"Remove","Remove"
"Reorder","Reorder"
"Retrieve Forgotten Password","Retrieve Forgotten Password"
"SKU","SKU"
"Search","Search"
"Selected product is already in your wishlist","Selected product is already in your wishlist"
"Set us primary billing address","Set us primary billing address"
"Set us primary shipping address","Set us primary shipping address"
"Shipping Method","Shipping Method"
"Sign In / Create Account","Sign In / Create Account"
"Signup","Signup"
"Site Name","Site Name"
"Sorry but we were not able to contact you via email address provided.","Sorry but we were not able to contact you via email address provided."
"State/Province","State/Province"
"Status","Status"
"Street Address","Street Address"
"Submit","Submit"
"Subtotal","Subtotal"
"Total","Total"
"Update","Update"
"View All","View All"
"View Order","View Order"
"View","View"
"Wishlist","Wishlist"
"Zip/Postcode","Zip/Postcode"
"My Addresses","My Addresses"
"Active","Active"
"Confirm Password","Confirm Password"
"Contact information","Contact information"
"Current password","Current password"
"Email address","Email address"
"Email will be used to login into your account","Email will be used to login into your account"
"General information","General information"
"Register","Register"
"Site","Site"
"Street","Street"
"Telephone","Telephone"
"Use as my default billing address","Use as my default billing address"
"Use as my default shipping address","Use as my default shipping address"
"Your email. No one will see it","Your email. No one will see it"
"Your name. All users will be able to see it","Your name. All users will be able to see it"
"No addresses found","No addresses found"
"Username or password is incorrect","Username or password is incorrect"
"Address not found","Address not found"
"Fax","Fax"
"Save","Save"
"Customer View","Customer View"
"Account Information","Account Information"
"Addresses","Addresses"
"Delete group","Delete group"
"Create group","Create group"
"Invalid address data. Try again.","Invalid address data. Try again."
"Customers","Customers"
"Customer Groups","Customer Groups"
"Customer Info Fields","Customer Info Fields"
"Value sets","Value sets"
"Default Customer Group","Default Customer Group"
"Group title","Group title"
"General","General"
"Default Customer Group (default:'General')","Default Customer Group (default:'General')"
"Customer '%s' not found","Customer '%s' not found"
"Your account is not active. Please contact site administrator for more details","Your account is not active. Please contact site administrator for more details"
