"Can't write to file %s","Can't write to file %s"
"Change %s's password","Change %s's password"
"Change %s's password: Axis administrator panel","Change %s's password: Axis administrator panel"
"Csv Import/Export","Csv Import/Export"
"Import","Import"
"Invalid hash recieved. Please fill forgot form again","Invalid hash recieved. Please fill forgot form again"
"Template is used already and can't be deleted","Template is used already and can't be deleted"
"Your can't delete default Guest group id: %s ","Your can't delete default Guest group id: %s "
"Your can't delete default customer group id: %s ","Your can't delete default customer group id: %s "
"No","No"
"Yes","Yes"
"Access Denied","Access Denied"
"Action","Action"
"Active","Active"
"All time","All time"
"Amounts ","Amounts "
"At least one language should be determined","At least one language should be determined"
"Back","Back"
"Box Class","Box Class"
"Cache was cleared successfully","Cache was cleared successfully"
"Cannot connect to database","Cannot connect to database"
"Cannot open file with read permissions","Cannot open file with read permissions"
"Change","Change"
"Clear all","Clear all"
"Config","Config"
"Configuration was saved successfully","Configuration was saved successfully"
"Configuration","Configuration"
"Confirm new password","Confirm new password"
"Controller","Controller"
"Convertion rate","Convertion rate"
"Copy global %s successfully","Copy global %s successfully"
"Country","Country"
"Data was deleted successfully","Data was deleted successfully"
"Data was deleted successfully. %d item(s) was deleted. %d item(s) was skipped","Data was deleted successfully. %d item(s) was deleted. %d item(s) was skipped"
"Data was updated successfully. %d item(s) was updated. %d item(s) was skipped","Data was updated successfully. %d item(s) was updated. %d item(s) was skipped"
"Day","Day"
"Description","Description"
"Disable all","Disable all"
"Email Templates","Email Templates"
"Email address was not found in our records","Email address was not found in our records"
"Email","Email"
"Enable all","Enable all"
"Error","Error"
"Export process has been completed. %d item(s) was exported. %d item(s) was skipped","Export process has been completed. %d item(s) was exported. %d item(s) was skipped"
"Field was deleted successfully","Field was deleted successfully"
"Forgot Your Backend Password","Forgot Your Backend Password"
"Forgot your password?","Forgot your password?"
"Global","Global"
"Go to login page","Go to login page"
"Group was deleted successfully","Group was deleted successfully"
"Hide","Hide"
"Install %s","Install %s"
"Interface locale","Interface locale"
"Layout block","Layout block"
"Login to Axis administrator panel","Login to Axis administrator panel"
"Module","Module"
"Modules","Modules"
"Month","Month"
"Name","Name"
"New password","New password"
"Next","Next"
"No data to delete","No data to delete"
"Order","Order"
"Orders","Orders"
"Pageviews","Pageviews"
"Parent Roles","Parent Roles"
"Password","Password"
"Please, select some site from menu","Please, select some site from menu"
"Prev","Prev"
"Profile was deleted successfully","Profile was deleted successfully"
"Profile was saved successfully","Profile was saved successfully"
"Requested method not found","Requested method not found"
"Retrieve Your Password","Retrieve Your Password"
"Role was added successfully","Role was added successfully"
"Role was deleted successfully","Role was deleted successfully"
"Role was saved successfully","Role was saved successfully"
"Roles","Roles"
"Rules (Allow|Deny)","Rules (Allow|Deny)"
"See your mailbox to proceed","See your mailbox to proceed"
"Select Site","Select Site"
"Select data to import","Select data to import"
"Separate block","Separate block"
"Separate template","Separate template"
"Set the primary language please","Set the primary language please"
"Show","Show"
"Site was deleted successfully","Site was deleted successfully"
"Site was saved successfully","Site was saved successfully"
"Status was updated successfully %d item(s) was updated. %d item(s) was skipped","Status was updated successfully %d item(s) was updated. %d item(s) was skipped"
"Tab container","Tab container"
"Template was deleted successfully","Template was deleted successfully"
"Template was exported successfully","Template was exported successfully"
"Template was imported successfully","Template was imported successfully"
"Templates","Templates"
"Upgrade to %s","Upgrade to %s"
"Use global successfully","Use global successfully"
"User was deleted successfully","User was deleted successfully"
"User was saved successfully","User was saved successfully"
"Username","Username"
"Users","Users"
"Value","Value"
"Visitors","Visitors"
"Week","Week"
"Welcome","Welcome"
"Year","Year"
"You do not have privileges to access this action.","You do not have privileges to access this action."
"You have no permission for this operation","You have no permission for this operation"
"Your session has been expired. Please relogin","Your session has been expired. Please relogin"
"Zone","Zone"
"Reports","Reports"
"Marketing","Marketing"
"Design Control","Design Control"
"Pages","Pages"
"Administrate","Administrate"
"Site","Site"
"Admin users","Admin users"
"Cache Management","Cache Management"
"Import/Export","Import/Export"
"OsCommerce","OsCommerce"
"Cache","Cache"
"Design","Design"
"Email address is required","Email address is required"
"Password is required","Password is required"
"Password confirmation does not match","Password confirmation does not match"
"Password successfully changed","Password successfully changed"
"Configuration option was saved successfully","Configuration option was saved successfully"
"Save","Save"
"Cancel","Cancel"
"Save and Continue Edit","Save and Continue Edit"
"%d new orders today, total %s","%d new orders today, total %s"
"%d new requests today","%d new requests today"
"Create template","Create template"
"Import template","Import template"
"Administrators","Administrators"
"Update search indexes","Update search indexes"
"Payment Methods","Payment Methods"
"Allowed Payment Zone","Allowed Payment Zone"
"Disallowed Shippings","Disallowed Shippings"
"Order Status on payment complete","Order Status on payment complete"
"Maximum order total amount","Maximum order total amount"
"Minimum order total amount","Minimum order total amount"
"Accept verification code","Accept verification code"
"Save credit card number action","Save credit card number action"
"Save verification code","Save verification code"
"Shipping Methods","Shipping Methods"
"Disallowed Payments","Disallowed Payments"
"Allowed Shipping Zone","Allowed Shipping Zone"
"Accepted Credit Cards","Accepted Credit Cards"
"Credits cards allowed to use with this payment method","Credits cards allowed to use with this payment method"
"Payment method will be available only for selected zone","Payment method will be available only for selected zone"
"Selected shipping methods will be not available with this payment method","Selected shipping methods will be not available with this payment method"
"Set the status of orders made with this payment module to this value","Set the status of orders made with this payment module to this value"
"How would you like to save credit card number","How would you like to save credit card number"
"Do you want to save cvv code?","Do you want to save cvv code?"
"Shipping method will be available only for selected zone","Shipping method will be available only for selected zone"
"Selected payment methods will be not available with this shipping method","Selected payment methods will be not available with this shipping method"
"Such user does not exists","Such user does not exists"
"Wrong password","Wrong password"
"You cannot delete yourself","You cannot delete yourself"
