"Minimum Qty for Item's","Minimum Qty for Item's"
"No categories found","No categories found"
"Regular price","Regular price"
"Special price","Special price"
"You save","You save"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Add to cart","Add to cart"
"Add","Add"
"Additional images","Additional images"
"All Products","All Products"
"Attributes", "Attributes"
"Backorders","Backorders"
"Base Image","Base Image"
"Begin","Begin"
"Catalog","Catalog"
"Categories","Categories"
"Category successfully saved","Category successfully saved"
"Choose option","Choose option"
"Close","Close"
"Code","Code"
"Comparable","Comparable"
"Compare","Compare"
"Data has been saved successfully","Data has been saved successfully"
"Data was successfully saved","Data was successfully saved"
"Date Available","Date Available"
"Description","Description"
"Duplicate entry (url)","Duplicate entry (url)"
"Empty","Empty"
"End","End"
"Enter path","Enter path"
"Featured","Featured"
"Filterable","Filterable"
"Grid","Grid"
"SEO url","SEO url"
"Image %s of %s","Image %s of %s"
"Image SEO prefix","Image SEO prefix"
"Image","Image"
"Invalid data recieved","Invalid data recieved"
"Invalid parameter recieved. ProductId is required","Invalid parameter recieved. ProductId is required"
"%s Item(s)","%s Item(s)"
"Keywords","Keywords"
"Language sensivity","Language sensivity"
"List","List"
"Loading error","Loading error"
"Loading","Loading"
"Main Images","Main Images"
"Manage stock","Manage stock"
"Manufacturer was deleted successfully","Manufacturer was deleted successfully"
"Manufacturer", "Manufacturer"
"Maximum Qty Allowed","Maximum Qty Allowed"
"Maximum allowed quantity is %d","Maximum allowed quantity is %d"
"Method %s not exist","Method %s not exist"
"Minimum Qty Allowed","Minimum Qty Allowed"
"Minimum allowed quantity is %d","Minimum allowed quantity is %d"
"Name","Name"
"Next","Next"
"No description available","No description available"
"Notify for Quantity Below","Notify for Quantity Below"
"Only %d %s available","Only %d %s available"
"Only %d %s","Only %d %s"
"Option Label","Option Label"
"Option was deleted successfully","Option was deleted successfully"
"Option was saved successfully","Option was saved successfully"
"Out of stock","Out of stock"
"Please fill product url field","Please fill product url field"
"Please, add products for comparation","Please, add products for comparation"
"Prev","Prev"
"Preview","Preview"
"Price","Price"
"Product %s not found","Product %s not found"
"Product Attributes","Product Attributes"
"Product Comparison","Product Comparison"
"Product is out of stock","Product is out of stock"
"Product not found","Product not found"
"Product url not saved. Duplicate entry url","Product url not saved. Duplicate entry url"
"Products Catalog","Products Catalog"
"Products","Products"
"Qty Uses Decimals","Qty Uses Decimals"
"Quantity","Quantity"
"Quick Overview","Quick Overview"
"Remove filter","Remove filter"
"Remove item","Remove item"
"Remove","Remove"
"SEO","SEO"
"Sku","Sku"
"Save","Save"
"Search indexes updated successfully","Search indexes updated successfully"
"Searchable","Searchable"
"Set product as new From","Set product as new From"
"Set product as new To","Set product as new To"
"Short Description","Short Description"
"Show per page","Show per page"
"Sort ascending","Sort ascending"
"Sort by","Sort by"
"Sort descending","Sort descending"
"Sort Order","Sort Order"
"Special Price From", "Special Price From"
"Special Price To","Special Price To"
"Status to be Out of Stock","Status to be Out of Stock"
"Status","Status"
"Stock Availability","Stock Availability"
"Tax Class","Tax Class"
"There are no products matching your request","There are no products matching your request"
"Thumbnail Image","Thumbnail Image"
"Title","Title"
"Type","Type"
"Upload image","Upload image"
"Value Set","Value Set"
"Value Sets", "Value Sets"
"Value sets", "Value sets"
"Value was deleted sucessfully","Value was deleted sucessfully"
"Value Set not found","Value Set not found"
"Value Set was deleted sucessfully","Value Set was deleted sucessfully"
"View mode","View mode"
"Weight","Weight"
"Only %d item(s) are available", "Only %d item(s) are available"
"Store hottest products","Store hottest products"
"Popular products","Popular products"
"No products found","No products found"
"Bestsellers","Bestsellers"
"Filters","Filters"
"New products","New products"
"Product Catalog","Product Catalog"
"Product Brands","Product Brands"
"Add Product","Add Product"
"Add Category","Add Category"
"Images","Images"
"Cache","Cache"
"Cache path","Cache path"
"Catalog route","Catalog route"
"Default product count per page","Default product count per page"
"Enabled","Enabled"
"Hurl world delimiter","Hurl world delimiter"
"Image path","Image path"
"Large height","Large height"
"Large width","Large width"
"Lens cursor","Lens cursor"
"Lens opacity","Lens opacity"
"Lightbox fade speed","Lightbox fade speed"
"Lightbox resize speed","Lightbox resize speed"
"Lightbox trigger","Lightbox trigger"
"Mask opacity","Mask opacity"
"Opacity","Opacity"
"Product Info height","Product Info height"
"Product Info width","Product Info width"
"Repeat","Repeat"
"SEO Description Length (45 -150 chars)","SEO Description Length (45 -150 chars)"
"Small height","Small height"
"Small width","Small width"
"Switch image trigger","Switch image trigger"
"Thumbnail image height","Thumbnail image height"
"Thumbnail image width","Thumbnail image width"
"Watermark Position","Watermark Position"
"Zoom off trigger","Zoom off trigger"
"Zoom on trigger","Zoom on trigger"
"Zoomer height","Zoomer height"
"Zoomer offset-x","Zoomer offset-x"
"Zoomer offset-y","Zoomer offset-y"
"Zoomer position","Zoomer position"
"Zoomer width","Zoomer width"
"Lightzoom","Lightzoom"
"General","General"
"Product Listing","Product Listing"
"Product View","Product View"
"Product Images","Product Images"
"Watermark","Watermark"
"Catalog url (example.com/<b>route</b>/product)","Catalog url (example.com/<b>route</b>/product)"
"Animation speed, ms","Animation speed, ms"
"Select none, if you wish to disable this event","Select none, if you wish to disable this event"
"Default listing type","Default listing type"
"Image cache path, relative to AXIS_ROOT","Image cache path, relative to AXIS_ROOT"
"Enable image cache","Enable image cache"
"Path relative to the skin images folder: catalog/watermark.png","Path relative to the skin images folder: catalog/watermark.png"
"Values [0 - 100]","Values [0 - 100]"
"Product","Product"
"Item(s) %d to %d of %d","Item(s) %d to %d of %d"
"Update Price Indexes","Update Price Indexes"
