"'%s' method not found among installed modules","'%s' method not found among installed modules"
"Already registered?","Already registered?"
"Card Number","Card Number"
"Card Owner's Name","Card Owner's Name"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Credit Card Type","Credit Card Type"
"Credit Card","Credit Card"
"Cvv","Cvv"
"Easy access to your order history and status","Easy access to your order history and status"
"Expiration Date","Expiration Date"
"Fast and easy check out","Fast and easy check out"
"Login","Login"
"Login/Register","Login/Register"
"Make Check payable to","Make Check payable to"
"Only %s item(s) of '%s' are available","Only %s item(s) of '%s' are available"
"Paypal IPN Invalid %s.","Paypal IPN Invalid %s."
"Please login","Please login"
"Product '%s' is not found in stock. product_id = %s","Product '%s' is not found in stock. product_id = %s"
"Product '%s' is out of stock","Product '%s' is out of stock"
"Received IPN verification","Received IPN verification"
"Register and save time!","Register and save time!"
"Register with us for future convenience","Register with us for future convenience"
"Register","Register"
"Send Check to","Send Check to"
"Thank You! We Appreciate your Business!","Thank You! We Appreciate your Business!"
"Thank you for shopping. Please click the Log Off link to ensure that your receipt and purchase information is not visible to the next person using this computer.","Thank you for shopping. Please click the Log Off link to ensure that your receipt and purchase information is not visible to the next person using this computer."
"Transaction in sale mode","Transaction in sale mode"
"Your Order Number is","Your Order Number is"
"Add new address","Add new address"
"Billing Address","Billing Address"
"CC Number","CC Number"
"CC Owner","CC Owner"
"CVV Help","CVV Help"
"Cart is empty","Cart is empty"
"Change Address","Change Address"
"Change Payment Method","Change Payment Method"
"Checked","Checked"
"Checkout Onepage","Checkout Onepage"
"Checkout Success","Checkout Success"
"Checkout Wizard","Checkout Wizard"
"Checkout","Checkout"
"Checkout Process","Checkout Process"
"Confirm your order","Confirm your order"
"Create Order","Create Order"
"Confirmation","Confirmation"
"Continue shopping","Continue shopping"
"Continue","Continue"
"Create New Address","Create New Address"
"Create/Edit Address","Create/Edit Address"
"Delivery Address","Delivery Address"
"Details","Details"
"Due errors while checking your shopping cart contents, we made some changes to it. Check it out now","Due errors while checking your shopping cart contents, we made some changes to it. Check it out now"
"Duplicate entry (must be unique set taxclass, geozone, customer group)","Duplicate entry (must be unique set taxclass, geozone, customer group)"
"Email","Email"
"End Price","End Price"
"Error","Error"
"Expires Date","Expires Date"
"Fill all variation options please","Fill all variation options please"
"Final price","Final price"
"Image","Image"
"Incorrect address recieved","Incorrect address recieved"
"Invalid address","Invalid address"
"Invalid modifier value recieved","Invalid modifier value recieved"
"My Account Orders","My Account Orders"
"Order created", "Order created"
"Order total amount does not match paypal gross total amount","Order total amount does not match paypal gross total amount"
"Password","Password"
"Payment Method","Payment Method"
"Paypal Account","Paypal Account"
"Paypal Express Checkout","Paypal Express Checkout"
"Pickup","Pickup"
"Price","Price"
"Proceed to Checkout","Proceed to Checkout"
"Product was successfully added to your shopping cart","Product was successfully added to your shopping cart"
"Remove item","Remove item"
"Remove","Remove"
"Select billing address","Select billing address"
"Select delivery address","Select delivery address"
"Selected payment method in not allowed","Selected payment method in not allowed"
"Selected shipping method in not allowed","Selected shipping method in not allowed"
"Set required attribute: %s","Set required attribute: %s"
"Ship to same address","Ship to same address"
"Shipping Method","Shipping Method"
"Shopping Cart - %s item(s)","Shopping Cart - %s item(s)"
"Shopping Cart","Shopping Cart"
"Signup","Signup"
"Total","Total"
"Update","Update"
"Use this address","Use this address"
"View","View"
"We can not accept payment from this billing address.","We can not accept payment from this billing address."
"We can not deliver the goods at the listed address.","We can not deliver the goods at the listed address."
"Your shopping cart is empty","Your shopping cart is empty"
"edit","edit"
"loading...","loading..."
"%s item(s)","%s item(s)"
"Subtotal","Subtotal"
"Shipping","Shipping"
"Tax","Tax"
"Shipping Tax","Shipping Tax"
"Order Total Modules","Order Total Modules"
"Enabled","Enabled"
"Sort Order","Sort Order"
"ShippingTax","ShippingTax"
"You can add some additional information for our manager","You can add some additional information for our manager"
"You can view your order history by going to the %s page","You can view your order history by going to the %s page"
"Display Mode for Custom Fields","Display Mode for Custom Fields"
"Display Shipping Address","Display Shipping Address"
"Default Values","Default Values"
"Onestep Ajax Requests","Onestep Ajax Requests"
"Reload when Billing Address was Changed","Reload when Billing Address was Changed"
"Reload when Delivery Address was Changed","Reload when Delivery Address was Changed"
"Reload when Shipping Method was Changed","Reload when Shipping Method was Changed"
"Reload when Payment Method was Changed","Reload when Payment Method was Changed"
"You can disable this option if you don't use different payment methods for different addresses","You can disable this option if you don't use different payment methods for different addresses"
"You can disable this option if you don't use different shipping methods or shipping taxes for different addresses","You can disable this option if you don't use different shipping methods or shipping taxes for different addresses"
"You can disable this option if all of your shipping methods have equal pricing, and if you don't have dependency between available payment methods and shipping method","You can disable this option if all of your shipping methods have equal pricing, and if you don't have dependency between available payment methods and shipping method"
"You can disable this option if you don't have dependency between available shipping methods and payment method","You can disable this option if you don't have dependency between available shipping methods and payment method"
"Payment Method is required.","Payment Method is required."
"Shipping Method is required.","Shipping Method is required."
"Use as Delivery Address","Use as Delivery Address"
"Reset","Reset"
"Order review","Order review"
"Place Order","Place Order"
"Redirect Location","Redirect Location"
"Customer will be redirected to selected page after adding item to cart","Customer will be redirected to selected page after adding item to cart"
"Are you sure you want to remove this product from shopping cart?","Are you sure you want to remove this product from shopping cart?"
"Credit Card is not saved to the database","Credit Card is not saved to the database"
