"Categories/Pages","Categories/Pages"
"Category was deleted successfully","Category was deleted successfully"
"Category was saved successfully","Category was saved successfully"
"Comment successfully added","Comment successfully added"
"Comments","Comments"
"Leave your comment","Leave your comment"
"Page Comments","Page Comments"
"Page not found","Page not found"
"Page was deleted successfully","Page was deleted successfully"
"Page was saved successfully","Page was saved successfully"
"Pages","Pages"
"Static Blocks","Static Blocks"
"Call Us","Call Us"
"Help desk","Help desk"
"Shipping","Shipping"
"Privacy","Privacy"
"Sitemap","Sitemap"
"Contacts","Contacts"
"Htc Hero Special Offer. 20% Off","Htc Hero Special Offer. 20% Off"
"Info","Info"
"Privacy Policy","Privacy Policy"
"Terms &amp; Conditions","Terms &amp; Conditions"
"Contact Us","Contact Us"
"Company history","Company history"
"Delivery Time","Delivery Time"
"Shipping &amp; Rates","Shipping &amp; Rates"
"Order Return &amp; Refund","Order Return &amp; Refund"
"Careers at Axis Demo Store","Careers at Axis Demo Store"
"Information","Information"
"Become a Supplier","Become a Supplier"
"general","general"
"Terms of use","Terms of use"
"Shipping and returns","Shipping and returns"
"About us","About us"
"Please notice! This is a demo store. Any order placed will not be processed.","Please notice! This is a demo store. Any order placed will not be processed."
"Please enable JavaScript in your browser.","Please enable JavaScript in your browser."
"About Us","About Us"
"Axis Demo store","Axis Demo store"
"USA, New York, Street Address, 10001","USA, New York, Street Address, 10001"
"Phone","Phone"
"Demo Store. All rights reserved.","Demo Store. All rights reserved."
"Block %s not found","Block %s not found"
"CMS","CMS"
"Uncategorized Pages","Uncategorized Pages"
