"Cart","Cart"
"Contact Us","Contact Us"
"Date&amp;Time","Date&amp;Time"
"Department was deleted successfully","Department was deleted successfully"
"Department was saved succesfully","Department was saved succesfully"
"Your message was successfully added","Your message was successfully added"
"custom fields","custom fields"
"from","from"
"message","message"
"subject","subject"
"Department","Department"
"Email","Email"
"Full name","Full name"
"Message","Message"
"Subject","Subject"
"Send Message","Send Message"
