"Add","Add"
"Attribute","Attribute"
"Date","Date"
"Price","Price"
"Product (id)","Product (id)"
"Product date","Product date"
"Product price","Product price"
"Product","Product"
"Add New Discount","Add New Discount"
"Customer Groups","Customer Groups"
"Discount '%s' successefull saved","Discount '%s' successefull saved"
"Discount Name","Discount Name"
"Discount Priority","Discount Priority"
"Discount type","Discount type"
"Discounts","Discounts"
"Edit Discount","Edit Discount"
"From Date","From Date"
"Is Combined","Is Combined"
"Show All","Show All"
"Show only Special","Show only Special"
"Show without Special ","Show without Special "
"Status","Status"
"To Date","To Date"
"Update value","Update value"
"You can not use those symbols","You can not use those symbols"
"Season sale","Season sale"
"General","General"
"Additional Conditions","Additional Conditions"
