"Google analytics","Google analytics"
"Enabled","Enabled"
"GOOGLE_ANALYTICS_UACCT","GOOGLE_ANALYTICS_UACCT"
"Id","Id"
"Language(en_EN)","Language(en_EN)"
"Optional partner or store affilation","Optional partner or store affilation"
"Prefix","Prefix"
"PRODUCTS ATTRIBUTES BRACKETS","PRODUCTS ATTRIBUTES BRACKETS"
"PRODUCTS ATTRIBUTES DELIMITER","PRODUCTS ATTRIBUTES DELIMITER"
"USE PAGENAME","USE PAGENAME"
"Conversion option","Conversion option"
"General","General"
"Products attributes","Products attributes"
"Tracking options","Tracking options"
"Enabled currency convertion","Enabled currency convertion"
"",""
"Enabled tracking","Enabled tracking"
