"No currencies found","No currencies found"
"Currency List","Currency List"
"Currency was deleted successfully","Currency was deleted successfully"
"Currency was saved successfully","Currency was saved successfully"
"Language was deleted successfully","Language was deleted successfully"
"Language was saved successfully","Language was saved successfully"
"Language","Language"
"Languages","Languages"
"Locale format is unsupported","Locale format is unsupported"
"No language found to delete","No language found to delete"
"Standard","Standard"
"Right","Right"
"Left","Left"
"Currency","Currency"
"No Symbol","No Symbol"
"Use Symbol","Use Symbol"
"Use Shortname","Use Shortname"
"Use Name","Use Name"
"Base currency rate should be 1.00","Base currency rate should be 1.00"
"Currency rate was changed to 1.00","Currency rate was changed to 1.00"
"Localization","Localization"
"Currencies","Currencies"
"Locale","Locale"
"Base currency","Base currency"
"Default Address Format","Default Address Format"
"Default display currency","Default display currency"
"Default language","Default language"
"Default locale","Default locale"
"Timezone","Timezone"
"General","General"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default address format","Default address format"
"Default currency","Default currency"
"Default site language","Default site language"
"Default site locale","Default site locale"
