"Authorization Type","Authorization Type"
"Customer Notification","Customer Notification"
"Gateway URL","Gateway URL"
"Login Id","Login Id"
"Merchant Email","Merchant Email"
"Test Mode","Test Mode"
"Title","Title"
"Transaction Key","Transaction Key"
"Authorize.Net Aim","Authorize.Net Aim"
"Authorize.Net","Authorize.Net"
"Do you want submitted credit card transactions to be authorized only, or authorized and captured?","Do you want submitted credit card transactions to be authorized only, or authorized and captured?"
"Should Authorize.Net email a receipt to the customer?","Should Authorize.Net email a receipt to the customer?"
"The API Login ID used for the Authorize.net service","The API Login ID used for the Authorize.net service"
"Transaction Key used for encrypting TP data (See your Authorizenet Account->Security Settings->API Login ID and Transaction Key for details.)","Transaction Key used for encrypting TP data (See your Authorizenet Account->Security Settings->API Login ID and Transaction Key for details.)"
