"Can't create folder %s. Permission denied","Can't create folder %s. Permission denied"
"Can't write to folder %s. Permission denied","Can't write to folder %s. Permission denied"
"Search results for '%s'","Search results for '%s'"
"Advanced Search","Advanced Search"
"All result","All result"
"Item(s)","Item(s)"
"Please, update search indexes, to enable search functionality","Please, update search indexes, to enable search functionality"
"Search entire store...","Search entire store..."
"Search returns no results","Search returns no results"
"Search","Search"
"Searches last month","Searches last month"
"Searches last week","Searches last week"
"Searches today","Searches today"
"Searches with null result","Searches with null result"
"Show per page","Show per page"
"Search Queries","Search Queries"
