"Table Rate","Table Rate"
"Checkout Description","Checkout Description"
"Export","Export"
"Handling Fee","Handling Fee"
"Import","Import"
"Table Method","Table Method"
"Table Standard","Table Standard"
"",""
"File will be written to AXIS_ROOT/var/export folder","File will be written to AXIS_ROOT/var/export folder"
"File at AXIS_ROOT/var/export folder, with shipping rates","File at AXIS_ROOT/var/export folder, with shipping rates"
"The shipping cost is based on the order total or the total weight of the items ordered or the total number of items orderd.","The shipping cost is based on the order total or the total weight of the items ordered or the total number of items orderd."
