"Engines","Engines"
"Not used","Not used"
"Products","Products"
"Results","Results"
"Site Map All Pages","Site Map All Pages"
"Site Map All Products","Site Map All Products"
"Site Map Categories","Site Map Categories"
"Sitemap","Sitemap"
"Ask Ping Url","Ask Ping Url"
"Enabled","Enabled"
"Frequency","Frequency"
"Google Ping Url","Google Ping Url"
"Msn Ping Url","Msn Ping Url"
"Priority","Priority"
"Show pages","Show pages"
"Start Time","Start Time"
"Yahoo Ping Url","Yahoo Ping Url"
"Categories Options","Categories Options"
"CMS Pages Options","CMS Pages Options"
"General","General"
"Products Options","Products Options"
"The priority of this URL relative to other URLs on your site.Valid values range from 0.0 to 1.0","The priority of this URL relative to other URLs on your site.Valid values range from 0.0 to 1.0"
"Show pages on sitemap page","Show pages on sitemap page"
"",""
