"Products associated with tag '%s'","Products associated with tag '%s'"
"Tag '%s' was successfully added to product","Tag '%s' was successfully added to product"
"Your tag '%s' is already added to this product","Your tag '%s' is already added to this product"
"Add Tags","Add Tags"
"Add multiple tags separated by commas","Add multiple tags separated by commas"
"Customer tags","Customer tags"
"No tags found","No tags found"
"Remove item","Remove item"
"Tags","Tags"
"There are no products matching your request","There are no products matching your request""Remove tag from this product","Remove tag from this product"
"Remove tag from this product","Remove tag from this product"
"My Tags","My Tags"
"Product Tags","Product Tags"
"Tag","Tag"
"Default customer tag status","Default customer tag status"
"Default guest tag status","Default guest tag status"
"General","General"
"Default tag status added by registered customer","Default tag status added by registered customer"
"Default tag status added by guest","Default tag status added by guest"
