"Tax Classes","Tax Classes"
"Tax Rates","Tax Rates"
"Tax","Tax"
"Shipping TaxBasis","Shipping TaxBasis"
"Shipping TaxClass","Shipping TaxClass"
"TaxBasis","TaxBasis"
"General","General"
"Shipping Tax","Shipping Tax"
"Tax Basis","Tax Basis"
"Tax Class","Tax Class"
"Address that will be used for tax calculation","Address that will be used for tax calculation"
"Tax class that will be used for tax calculation","Tax class that will be used for tax calculation"
"Address that will be used for shipping tax calculation","Address that will be used for shipping tax calculation"
"Tax class that will be used for shipping tax calculation","Tax class that will be used for shipping tax calculation"
