"You cannot delete yourself", "Você não pode excluir a si mesmo"
"Can't write to file %s", "Não foi possível escrever no arquivo %s"
"Change %s's password", "Alterar senha de %s"
"Change %s's password: Axis administrator panel", "Alterar senha de %s: Painel de Administrador"
"Csv Import/Export", "Importar/Exportar Csv"
"Import", "Importar"
"Invalid hash recieved. Please fill forgot form again", "Hash recebida e Inválida. Preencha formulário novamente"
"Template is used already and can't be deleted", "Template está sendo utilizado e não pode ser excluído"
"Your can't delete default Guest group id: %s ", "Você não pode excluir o  grupo  padrão do visitante com id: %s"
"Your can't delete default customer group id: %s ", "Você não pode excluir o  grupo  padrão do cliente com id: %s"
"No", "Não"
"Yes", "Sim"
"Access Denied", "Acesso Negado"
"Action", "Ação"
"Active", "Ativo"
"All time", "Todos os tempos"
"Amounts ", "Valores "
"At least one language should be determined", "Pelo menos um idioma deve ser escolhido"
"Back", "Voltar"
"Box Class", "Caixa de Classe"
"Cache Management", "Gerenciador de Cache"
"Cache was cleared successfully", "Cache limpo com sucesso"
"Cannot connect to database", "Não é possível conectar ao banco de dados"
"Cannot open file with read permissions", "Não é possível abrir o arquivo com permissões de leitura"
"Change", "Alterar"
"Clear all", "Limpar tudo"
"Config", "Configuração"
"Configuration was saved successfully", "Configuração salva com sucesso"
"Configuration", "Configuração"
"Confirm new password", "Confirmar nova senha"
"Controller", "Controlador"
"Convertion rate", "Taxa de conversão"
"Copy global %s successfully", "Copia global %s feita com sucesso"
"Country", "País"
"Data was deleted successfully", "Dados excluídos com sucesso"
"Data was deleted successfully. %d item(s) was deleted. %d item(s) was skipped", "Dados excluídos com sucesso. %d item(s) excluído. %d item(s) ignorado"
"Data was updated successfully. %d item(s) was updated. %d item(s) was skipped", "Dados atualizados com sucesso. %d item(s) atualizado. %d item(s) ignorado"
"Day", "Dia"
"Description", "Descrição"
"Disable all", "Desativar todos"
"Email Templates", "Modelos de E-mail"
"Email address was not found in our records", "Endereço de e-mail não foi encontrado em nossos registros"
"Email", "Email"
"Enable all", "Ativar Todos"
"Error", "Erro"
"Export process has been completed. %d item(s) was exported. %d item(s) was skipped", "Processo exportar concluído. %d item(s) exportado. %d item(s) ignorado"
"Field was deleted successfully", "Campo excluído com sucesso"
"Forgot Your Backend Password", "Esqueceu Sua Senha painel"
"Forgot your password?", "Esqueceu sua senha?"
"Global", "Global"
"Go to login page", "Ir para a página de Acesso"
"Group was deleted successfully", "Grupo excluído com sucesso"
"Hide", "Ocultar"
"Install %s", "Instalar %s"
"Interface locale", "Idioma do Sistema"
"Layout block", "Bloco de layout"
"Login to Axis administrator panel", "Acessar Painel de Administrador"
"Module", "Módulo"
"Modules", "Módulos"
"Month", "Mês"
"Name", "Nome"
"New password", "Nova Senha"
"Next", "Próxima"
"No data to delete", "Não há dados para excluir"
"Order", "Pedido"
"Orders", "Pedidos"
"Pageviews", "Páginas Visitadas"
"Parent Roles", "Funções Principais"
"Password", "Senha"
"Please, select some site from menu", "Por favor, selecione algum site no menu"
"Prev", "Anterior"
"Profile was deleted successfully", "Perfil excluído com sucesso"
"Profile was saved successfully", "Perfil salvo com sucesso"
"Requested method not found", "Método solicitado não foi encontrado"
"Retrieve Your Password", "Recuperar senha"
"Role was added successfully", "Função adicionada com sucesso"
"Role was deleted successfully", "Função excluída com sucesso"
"Role was saved successfully", "Função salva com sucesso"
"Roles", "Funções"
"Rules (Allow|Deny)", "Funções (Permitir|Negar)"
"See your mailbox to proceed", "Veja seu e-mail para prosseguir"
"Select Site", "Selecione Site"
"Select data to import", "Selecionar dados para importação"
"Separate block", "Bloco separado"
"Separate template", "Template separado"
"Set the primary language please", "Por favor, defina o idioma principal"
"Visualizar", "Visualizar"
"Site was deleted successfully", "Site excluído com sucesso"
"Site was saved successfully", "Site salvo com sucesso"
"Status was updated successfully %d item(s) was updated. %d item(s) was skipped", "Status atualizado com sucesso %d item(s) atualizado. %d item(s) ignorado"
"Tab container", "Guia de Conteúdo"
"Template was deleted successfully", "Template excluído com sucesso"
"Template was exported successfully", "Template exportado com sucesso"
"Template was imported successfully", "Template importado com sucesso"
"Templates", "Templates"
"Upgrade to %s", "Atualização para %s"
"Use global successfully", "Uso global feito com sucesso"
"User was deleted successfully", "Usuário excluído com sucesso"
"User was saved successfully", "Usuário salvo com sucesso"
"Username", "Nome de Usuário"
"Users", "Usuários"
"Value", "Valor"
"Visitors", "Visitantes"
"Week", "Semana"
"Welcome", "Bem-vindo"
"Year", "Ano"
"You do not have privileges to access this action.", "Você não tem privilégios para executar essa ação."
"You have no permission for this operation", "você não tem permissão para esta operação"
"Your session has been expired. Please relogin", "Sua sessão expirou. Acesse novamente"
"Zone", "Região"
"Reports", "Relatórios"
"Marketing", "Marketing"
"Design Control", "Controle de Design"
"Pages", "Páginas"
"Administrate", "Administração"
"Site", "Site"
"Admin users", "Usuários Administrativos"
"Import/Export", "Importar/Exportar"
"OsCommerce", "OsCommerce"
"Cache", "Cache"
"Design", "Design"
"Email address is required", "Endereço de e-mail é obrigatório"
"Password is required", "Senha é obrigatória"
"Password confirmation does not match", "Confirmação da senha não corresponde"
"Password successfully changed", "Senha alterada com sucesso"
"Configuration option was saved successfully", "Opção de configuração salva com sucesso"
