"Uncategorized Pages", "Páginas Sem Categoria"
"Categories/Pages", "Categorias/Páginas"
"Category was deleted successfully", "Categoria excluída com sucesso"
"Category was saved successfully", "Categoria salva com sucesso"
"Comment successfully added", "Comentário adicionado com sucesso"
"Comments", "Comentários"
"Leave your comment", "Deixe seu comentário"
"Page Comments", "Página de Comentários"
"Page not found", "Página não encontrada"
"Page was deleted successfully", "Página excluída com sucesso"
"Page was saved successfully", "Página salva com sucesso"
"Pages", "Páginas"
"Static Blocks", "Blocos Estático"
"Block %s not found", "Bloco %s não encontrado"
"CMS", "CMS"
