"Mail Transport (smtp or sendmail)","Transporte de correio (smtp ou sendmail)"
"%d record(s) was saved successfully","%d registro(s) salvo com sucesso"
"If you want to change your password, go to <a href="%s">Change password</a>","Se você quiser alterar sua senha, vá para <a href="%s">Alterar senha</a>"
"Home","Início"
"Mail was sended successfully","E-mail enviado com sucesso"
"Can't open file with write permissions : %s","Não é possível abrir o arquivo com permissões de gravação : %s"
"Template %s not found in 'core_template' table. Check your template values at the 'design/main' config section","Template %s não foi encontrado na tabela 'core_template'. Verifique os valores 'design/main' seção de configuração"
"Can't upgrade module to %s. Upgrade file not found","Não é possível atualizar módulo %s. arquivo de atualização não encontrado"
"Please enable JavaScript in your browser.","Ative o JavaScript no seu navegador."
"Can't write content to file :%s","Não é possível gravar o conteúdo no arquivo :%s"
"Column %s should be unique","Coluna %s deve ser única"
"Config field '%s' was not found","Campo de configuração '%s' não foi encontrado."
"Session","Sessão"
"Directory %s not readable","Diretório de %s não legível"
"Remote Address (IP) Validation","Validação de Endereço (IP) Remoto"
"Incorect filename %s","Nome do arquivo %s incorreto"
"User Agent (Browser) Validation","Validação Usuário Agente (Navegador)"
"Installation file not found for '%s'","Arquivo de instalação não foi encontrado para \'%s\'"
"Please note that this message was sent to the following e-mail address: %s","Esta mensagem foi enviada para o endereço de e-mail a seguir: %s"
"Item(s)","Item(s)"
"Module '%s' is installed already","Módulo '%s' já está instalado"
"Module '%s' is required by '%s', but can't be installed","Módulo '%s' é necessária por '%s', mas não pode ser instalado"
"Module '%s' was successfully installed","Módulo '%s' instalado com sucesso"
"Module '%s', (version %s %s) is required by '%s', but can't be upgraded","Módulo '%s', (versão %s %s) é necessária por %s', mas não pode ser atualizado"
"Powered by %s v. %s","Produzido por %s v. %s <br/>Traduzido por <a href='http://upwebmasters.com.br/' target='_blank'>Up WebMasters</a>"
"Report any %s you've found","Comunique qualquer %s que você encontrar"
"An error has occured processing your request","Ocorreu um erro ao processar sua solicitação"
"Billing Address","Endereço de Cobrança"
"Box was saved successfully","Caixa salva com sucesso"
"Bugs or Issues","Erros ou Problemas"
"Cannot open file with write permissions","Não é possível abrir o arquivo com permissões de gravação"
"Close Window","Fechar Janela"
"Config file is corrupted","Arquivo de configuração está corrompido"
"Copyright &copy; 2008, Axis, Inc. All Rights Reserved","Direitos Autorais &copy; 2008, Axis, Inc. Todos os Direitos Reservados"
"Copyright","Direitos Autorais"
"Data was saved successfully","Dados salvo com sucesso"
"Date","Data"
"Dear","Prezado(a)"
"Delivery Address","Endereço de Entrega"
"Dir %s not exist","Dir %s não existe"
"E-mail","E-mail"
"Error write file : %s dir chmod 755 need","Erro de gravação de arquivo : %s necessitar de permissão 755 no diretório"
"File already exist","Arquivo já existe"
"Filename","Nome do arquivo"
"If you feel that you have received this email in error, please send an email to","Se você acha que recebeu esta mensagem por engano, por favor envie um e-mail para"
"If you want to change your password, go to %s","Se você quiser alterar sua senha, vá para %s"
"Incorrect field path","Caminho de campo incorreto"
"Latest version of module is already installed","Última versão do módulo já está instalado"
"Login","Acessar"
"Message was sended to you. Check your mailbox","Mensagem foi enviada a você. Verifique seu e-mail"
"Module is not installed yet","Módulo não está instalado ainda"
"Module was successfully uninstalled","Módulo desinstalado com sucesso"
"No data to save","Não há dados"
"Notice","Aviso"
"Order","Pedido"
"Password","Senha"
"Report","Relatório"
"Required fields are missing","Campos obrigatórios estão faltando"
"See Details Info","Ver Detalhes de Informações"
"Shipping","Envio"
"Shipping Method","Forma de Envio"
"Sites","Sites"
"Template not found","Template não encontrado"
"Template was saved successfully","Template salvo com sucesso"
"Thank you for your order from %s","Obrigado pelo seu pedido de %s"
"This email address was given to us by you or by one of our customers.","Este endereço de e-mail foi dado a nós por você ou por um dos nossos clientes."
"This link is valid for only 24 hours.","Este link é válido por apenas 24 horas."
"This is reply on your letter to us","Esta é a resposta de sua mensagem para nós"
