"Additional Conditions", "Condições Adicionais"
"Add", "Adicionar"
"Attribute", "Atributo"
"Date", "Data"
"Price", "Preço"
"Product (id)", "Produto (ID)"
"Product date", "Data do Produto "
"Product price", "Preço do Produto"
"Add New Discount", "Adicionar Novo Desconto"
"Customer Groups", "Grupos de Cliente"
"Discount '%s' successefull saved", "Desconto '%s' salvo com sucesso"
"Discount Name", "Nome do Desconto"
"Discount Priority", "Prioridade do Desconto"
"Discount type", "Tipo de Desconto"
"Discounts", "Promoções"
"Edit Discount", "Editar Desconto"
"From Date", "Data Inicial"
"Is Combined", "É Combinado"
"Show All", "Mostrar Todos"
"Show only Special", "Mostrar Apenas Promoções"
"Show without Special ", "Não Mostrar Promoções"
"Status", "Status"
"To Date", "Para Data"
"Update value", "Atualizar Valor"
"You can not use those symbols", "Você não pode usar esses símbolos"
"Season sale", "Temporada de Venda"
"General", "Geral"
