"Enabled tracking", "Rastreamento Ativado"
"Google analytics", "Google analytics"
"Enabled", "Ativado"
"GOOGLE_ANALYTICS_UACCT", "GOOGLE_ANALYTICS_UACCT"
"Id", "Id"
"Language(en_EN)", "Idioma(en_EN)"
"Optional partner or store affilation", "Parceiro opcional ou afiliação loja"
"Prefix", "Prefixo"
"PRODUCTS ATTRIBUTES BRACKETS", "ATRIBUTOS DE PRODUTOS E SUPORTES"
"PRODUCTS ATTRIBUTES DELIMITER", "DELIMITADOR DE ATRIBUTOS DE PRODUTOS"
"USE PAGENAME", "USO NOME PÁGINA"
"Conversion option", "Opção de conversão"
"General", "Geral"
"Products attributes", "Atributos de produtos"
"Tracking options", "Opções de rastreamento"
"Enabled currency convertion", "Conversão de moeda Ativada"
