"Password to google account", "Senha para a conta do google"
"Google Base", "Google Base"
"Application", "Aplicação"
"Connection type", "Tipo de conexão"
"dryRun", "Simulação"
"Item type", "Tipo de Item"
"Link products to", "Link para os produtos"
"Login", "Acessar"
"Password", "Senha"
"Payment", "Pagamento"
"Payment notes", "Notas de pagamento"
"General", "Geral"
"Set 'Yes' for testing, 'No' for production", "Definir 'Sim' para testes, 'Não' para produção"
"Name of the application that last modified this item.\r\nAll applications should set this attribute whenever they insert or update an item. Recommended format : Organization-ApplicationName-Version", "Nome da aplicação que modificou esta página pela última vez este aplicativos item.\r\nAll deve definir esse atributo sempre que ele inserir ou atualizar um item. Formato recomendado: organização-ApplicationName-versão"
"If you want to use GoogleBase pages as landing page for your items, or you  can't give the link to your webstore - select Google base, otherwise - select Website.", "Se você quiser usar páginas de GoogleBase como seus itens de página inicial, ou você não pode dar o link para seu webstore - selecione Google base, caso contrário - selecione o site."
"Type of your products. Read this for more information http://code.google.com/apis/base/starting-out.html#ItemTypes", "Tipo de seus produtos. Para mais informações, leia isto
http://code.google.com/apis/base/starting-out.html#ItemTypes"
"Let your customers buy with all major credit cards", "Deixe seus clientes comprar com todos os principais cartões de crédito"
"Login type. For ClientLogin fill login and password fields. For AuthSub you will have to enter login and password manually", "Tipo de Login. Para ClientLogin preencha os campos login e senha. Para AuthSub, você terá que digitar login e senha manualmente"
"Your google account to submit products", "Sua conta do google para apresentar produtos"
