"Default site locale", "Idioma padrão do site"
"Default backend language", "Idioma padrão do Painel"
"No currencies found", "Moedas não encontradas"
"Default frontend language", "Idioma padrão de interface"
"Currency List", "Lista de Moeda"
"Currency was deleted successfully", "Moeda excluído com sucesso"
"Currency was saved successfully", "Moeda salva com sucesso"
"Language was deleted successfully", "Idioma excluído com sucesso"
"Language was saved successfully", "Idioma salvo com sucesso"
"Language", "Idioma"
"Languages", "Idiomas"
"Locale format is unsupported", "formato de Idioma não é suportado"
"No language found to delete", "Nenhum idioma encontrado para excluir"
"Standard", "Padrão"
"Right", "Direito"
"Left", "Esquerdo"
"Currency", "Moeda"
"No Symbol", "Não Usar Símbolo"
"Use Symbol", "Usar Símbolo"
"Use Shortname", "Usar Nome Abreviado"
"Use Name", "Usar Nome"
"Base currency rate should be 1.00", "Base de taxas de câmbio deve ser 1,00"
"Currency rate was changed to 1.00", "Taxa corrente foi alterado para 1,00"
"Localization", "Localização"
"Currencies", "Moedas"
"Locale", "Idioma"
"Base currency", "Moeda Base"
"Default Address Format", "Formato Padrão de Endereço"
"Default display currency", "Moeda padrão de exibição"
"Default locale", "Idioma padrão"
"Timezone", "Fuso horário"
"General", "Geral"
"Currency will be used for all online payment transactions", "Moeda será usada por todas as operações de pagamento on-line"
"Default currency", "Moeda Padrão"
