"All notifications about new orders will be sended to this email", "Todas as notificações sobre novos pedidos será enviada para este e-mail"
"Order status %s already exist", "Status do Pedido %s já existe"
"Can't buy %s with qty %s", "Não é possível comprar %s com qtde %s"
"Order #%s, Credit card middle digits: %s", "Pedido #%s, Média de cartão de crédito dígitos: %s"
"New order status create : %s", "Criar novo status do pedido: %s"
"Order created", "Pedido criado"
"Order status  %s upload", "Status de Pedido %s carregar"
"Your order", "Seu pedido"
"Order status not exist", "Status Pedido não existe"
"All Time Sales", "Todas de Vendas"
"Order status was changed to %s", "Status pedido alterado para %s"
"Today Sales", "Vendas de Hoje"
"Product can't be shipped. Name: %s, Sku: %s", "Produto não pode ser enviado. Nome: %s, Sku: %s"
"Average Order Total", "Média Total de Pedido"
"Relation no change. Order status %s is SYSTEM ", "Relação sem alteração. Status de Pedido %s é DO SISTEMA"
"Conversion rate", "Taxa de conversão"
"Actions", "Ações"
"Order Information", "Pedido de Informação"
"An order has been created on %s", "Um pedido foi criado em %s"
"Backorder", "Pedido pendente"
"Status of your order has been changed", "Status do pedido alterado"
"Bill to", "fatura para"
"Your order #%s status has been changed to %s", "Status de seu pedido #%s foi alterado para %s"
"Billing", "Faturamento"
"You can check the status of your order by <a %s>logging into your account</a>", "Você pode verificar o status do seu pedido por <a %s>iniciar sessão na sua conta</a>"
"Comments", "Comentários"
"You can check the status of your order by logging into your account", "Você pode verificar o status do seu pedido pela sua conta"
"Customer Notified", "Cliente Notificados"
"Order #%s. Credit card number", "Pedido #%s. Número do cartão"
"Customer email", "E-mail do Cliente"
"Date added", "Data em que adicionou"
"Date", "Data"
"Delivery", "Entrega"
"Fax", "Fax"
"Grand Total", "Total da Venda"
"Id", "Id"
"Ip", "Ip"
"Name", "Nome"
"No data to print", "Não há dados para imprimir"
"Order Date", "Data do Pedido"
"Order Number", "Número do Pedido"
"Order Status", "Status do Pedido"
"Order Subtotal", "Subtotal do Pedido"
"Order Total", "Pedido Total"
"Order not found", "Pedido não encontrado"
"Order was deleted successfully", "Pedido excluído com sucesso"
"Order", "Pedido"
"Orders", "Pedidos"
"Payment Method", "Forma de Pagamento"
"Payment", "Pagamento"
"Phone", "Telefone"
"Price", "Preço"
"Products", "Produtos"
"QTY", "Qtde"
"Relation not exist %s <=> %s", "Relação não existe %s <=> %s"
"Ship to", "Enviar para"
"Shipping", "Frete"
"Shipping & Handling", "Frete e manuseio"
"Shipping Method", "Método de Envio"
"Shipping Tax", "Imposto de Frete"
"Site", "Site"
"Sold to", "Vendido para"
"Status not exist", "Status não existe"
"Status was deleted successfully", "Status excluído com sucesso"
"Status was saved successfully", "Status salvo com sucesso"
"Tax", "Taxas e Impostos"
"Total Shipping Charges", "Custo Total de Envio"
"Total", "Total"
"Undefined", "Indefinido"
"View All", "Visualizar Todos"
"View", "Visualizar"
"edit", "editar"
"new window", "nova janela"
"Recent Orders", "Pedidos Recentes"
"No orders found", "Nenhum pedido encontrado"
"Order statuses", "Status do Pedido"
"Sales", "Vendas"
"Default Order Status", "Status Pedido Padrão"
"Order notifications reciever", "Pedido receptor de notificações"
"Pattern for Custom Order Number", "Número do Pedido Padrão para Personalizado"
"Prefix for Custom Order Number", "Prefixo para Número do Pedido "
