"Search Queries","Consultar Pesquisas"
"Can't create folder %s. Permission denied","Não é possível criar pasta %s. Permissão negada"
"Can't write to folder %s. Permission denied","Não é possível escrever na pasta %s. Permissão negada"
"Search results for '%s'","Resultados da pesquisa para '%s'"
"Advanced Search","Pesquisa Avançada"
"All result","Todos resultados"
"Item(s)","Item(s)"
"Please, update search indexes, to enable search functionality","Por favor, atualize os índices de pesquisa, para permitir a funcionalidade de pesquisa"
"Search entire store...","Pesquisar na loja toda..."
"Search returns no results","Busca não obteve resultados"
"Search","Buscar"
"Searches last month","Pesquisas no mês passado"
"Searches last week","Pesquisas na semana passada"
"Searches today","Pesquisas de hoje"
"Searches with null result","Pesquisas com resultado nulo"
"Show per page","Mostrar por página"
