"Default tag status added by registered customer","Status Padrão adicionado por cliente registrado"
"Default tag status added by guest","Status Padrão adicionado por visitante"
"Products associated with tag '%s'","Produtos associados com a tag '%s'"
"Tag '%s' was successfully added to product","Tag '%s' foi adicionada com sucesso ao produto"
"Your tag '%s' is already added to this product","Sua tag '%s' já foi adicionado a este produto"
"Add Tags","Adicionar Tags"
"Add multiple tags separated by commas","Adicionar tags separados por vírgulas"
"Customer tags","Tags de cliente"
"No tags found","Tags não encontrada"
"Remove item","Remover item"
"Tags","Tags"
"There are no products matching your request","Não foram encontrados produtos com sua solicitação"
"Remove tag from this product","Remover tag do produto"
"My Tags","Minhas Tags"
"Product Tags","Tags de Produto"
"Tag","Tag"
"Default customer tag status","Status padrão tag de cliente"
"Default guest tag status","Status padrão tag de visitante"
"General","Geral"
