"Can't write to file %s","Nu s-a putut scrie în fișierul %s"
"Change %s's password","Schimbă parola %s"
"Change %s's password: Axis administrator panel","Modificare parola %s : Panou administrare Axis
"
"Csv Import/Export","Import/Export Csv"
"Import","Import"
"Invalid hash recieved. Please fill forgot form again","Hash-ul primit este invalid. Recompletați formularul din nou."
"Template is used already and can't be deleted","Templateul este folosit și nu poate fi șters"
"Your can't delete default Guest group id: %s ","Nu puteți șterge Id-ul grupul implicit al vizitatorilor: %s"
"Your can't delete default customer group id: %s ","Nu puteți șterge Id-ul grupului implict al clienților: %s"
"No","Nu"
"Yes","Da"
"Access Denied","Acces interzis"
"Action","Acțiune"
"Active","Activ"
"All time","Tot timpul"
"Amounts ","Sume"
"At least one language should be determined","Trebuie să existe cel puțin un limbaj definit"
"Back","Înapoi"
"Box Class","Clasă casetă text"
"Cache was cleared successfully","Cache-ul a fost șters cu succes"
"Cannot connect to database","Nu s-a putut realiza conexiunea la baza de date"
"Cannot open file with read permissions","Fișierul nu a putu fi deschis cu permisiuni de citire"
"Change","Modifică"
"Clear all","Șterge tot"
"Config","Configurează"
"Configuration was saved successfully","Configurația a fost salvată cu succes"
"Configuration","Configurație"
"Confirm new password","Confirmă parola nouă"
"Controller","Controler"
"Convertion rate","Rată de conversie"
"Copy global %s successfully","Copy global %s successfully"
"Country","Țară"
"Data was deleted successfully","Datele au fost șterse cu succes"
"Data was deleted successfully. %d item(s) was deleted. %d item(s) was skipped","Datele au fost șterse cu succes: %d produse au fost șterse,%d produse au fost omise"
"Data was updated successfully. %d item(s) was updated. %d item(s) was skipped","Datele au fost actualizate„ cu succes: %d produse au fost actuaizate,%d produse au fost omise"
"Day","Zi"
"Description","Descriere"
"Disable all","Dezactivează tot"
"Email Templates","Template-uri Email"
"Email address was not found in our records","Adresa de email nu a fost găsită în înregistrările noastre"
"Email","Email"
"Enable all","Activează tot"
"Error","Eroare"
"Export process has been completed. %d item(s) was exported. %d item(s) was skipped","Procesul de export este complet. %d obiecte au fost exportate, %d obiecte au fost omise"
"Field was deleted successfully","Câmpul a fost șters cu succes"
"Forgot Your Backend Password","Ați uitat parola de acces în panoul de administare"
"Forgot your password?","Ați uitat parola"
"Global","Global"
"Go to login page","Mergi către pagina de autetificare"
"Group was deleted successfully","Grupul a fost șters cu succes"
"Hide","Ascunde"
"Install %s","Instalează %s"
"Interface locale","Interfață locală"
"Layout block","Bloc aspect"
"Login to Axis administrator panel","Autentificare în panoul de administrare Axis"
"Module","Modul"
"Modules","Module"
"Month","Lună"
"Name","Nume"
"New password","Parolă nouă"
"Next","Următorul"
"No data to delete","Nicio informație nu a fost ștearsă"
"Order","Comandă"
"Orders","Comenzi"
"Pageviews","Pagini vizualizate"
"Parent Roles","Roluri părinte"
"Password","Parola"
"Please, select some site from menu","Vă rugam, selectați un site din menu"
"Prev","Anterior"
"Profile was deleted successfully","Profilul a fost șters cu succes"
"Profile was saved successfully","Profilul a fost salvat cu succes"
"Requested method not found","Metoda dorită nu a fost găsita"
"Retrieve Your Password","Primește parola"
"Role was added successfully","Funcția a fost adăugată"
"Role was deleted successfully","Funcția a fost ștearsă"
"Role was saved successfully","Funcția a fost salvată"
"Roles","Funcții"
"Rules (Allow|Deny)","Reguli (Permite | Interzice)"
