"Minimum Qty for Item's","Cantitate minimă pentru produsul"
"No categories found","Nicio categorie nu a fost găsită"
"Regular price","Preț normal"
"Special price","Preț special"
"You save","Economisești"
"Add to Compare","Compară"
"Add to Wishlist","Adaugă în Wishlist"
"Add to cart","Adaugă în coș"
"Add","Adaugă"
"Additional images","Mai multe imagini"
"All Products","Toate produsele"
"Attributes","Atribute"
"Backorders","Pe lista de așteptare"
"Base Image","Imagine implicită"
"Begin","Începe"
"Catalog","Catalog"
"Categories","Categorii"
"Category successfully saved","Categoria a fost salvată cu succes"
"Choose option","Alege opțiune"
"Close","Închide"
"Code","Cod"
"Comparable","Poate fi comparat"
"Compare","Compară"
"Data has been saved successfully","Data au fost salvate cu succes"
"Data was successfully saved","Data a fost salvată cu succes"
"Date Available","Date displonibile"
"Description","Descriere"
"Duplicate entry (url)","Duplicat(url)"
"Empty","Gol"
"End","Sfârșit"
"Enter path","Introduceți cale"
"Featured","Recomandat"
"Filterable","Filtrabil"
"Grid","Grid"
"SEO url","Adresă SEO"
"Image %s of %s","Imaginea %s din %s"
"Image SEO prefix","Prefix SEO pentru imagine"
"Image","Imagine"
"Invalid data recieved","Date invalide"
"Invalid parameter recieved. ProductId is required","Parametru invalid. ProductId-ul este obligatoriu"
"Item(s)","Produs(e)"
"Keywords","Cuvinte cheie"
"Language sensivity","Sensibilitate limbă"
"List","Listă"
"Loading error","Eroare la încărcare"
"Loading","Se încarcă"
"Main Images","Imagini principale"
"Manage stock","Gestionează stocul"
"Manufacturer was deleted successfully","Producătorul a fost șters cu succes"
"Manufacturer","Producător"
"Maximum Qty Allowed","Cantitate maximă permisă"
"Maximum allowed quantity is %d","Cantitatea maximă permisă este: %d"
"Method %s not exist","Metoda %s nu există"
"Minimum Qty Allowed","Cantitatea minimă permisă"
"Minimum allowed quantity is %d","Cantitatea minimă permisă este %d"
"Name","Denumire"
"Next","Următorul"
"No description available","Fără descriere"
"Notify for Quantity Below","Notificări pentru cantitate"
"Only %d %s available","%s disponibil în cantitate de %d"
"Only %d %s","Doar %d din %s"
"Option Label","Denumire opțiune"
"Option was deleted successfully","Opțiunea a fost ștearsă cu succes"
"Option was saved successfully","Opțiunea a fost salvată cu succes"
"Out of stock","Lipsă stoc"
"Please fill product url field","Completați câmpul url produs"
"Please, add products for comparation","Adaugați produse pentru comparare"
"Prev","Anterior"
"Preview","Previzualizează"
"Price","Preț"
"Product %s not found","Produsul %s nu a fost găsit"
"Product Attributes","Atribute produs"
"Product Comparison","Comparație produs"
"Product is out of stock","Produsul nu mai este în stoc"
"Product not found","Produsul nu a fost găsit"
"Product url not saved. Duplicate entry url","Url-ul produsul nu a fost găsit. Acesta există deja în sistem"
"Products Catalog","Catalog produse"
"Products","Produse"
"Qty Uses Decimals","Cantitatea trebuie introdusă în zecimale"
"Quantity","Cantitate"
"Quick Overview","Prezentare generală"
"Remove filter","Înlătură filtrele"
"Remove item","Șterge produs"
"Remove","Șterge"
"SEO","SEO"
"Sku","Cod unic"
"Save","Salvează"
"Search indexes updated successfully","Indexul de căutare a fost actualizat cu succes"
"Searchable","Vizibil la căutare"
"Set product as new From","Set product as new Form"
"Set product as new To","Setează produsul ca nou în"
"Short Description","Descriere scurta"
"Show per page","Arată pe pagină"
"Sort ascending","Sortează crescător"
"Sort by","Sortează după"
"Sort descending","Sortează descrescător"
"Sort Order","Mod sortare"
"Special Price From","Preț special din"
"Special Price To","Preț special pentru"
"Status to be Out of Stock","Statusul va fi Fără stoc"
"Status","Status"
"Stock Availability","Disponibilitate stoc"
"Tax Class","Clasa taxe"
"There are no products matching your request","Nu există niciun produs care să îndeplinească cerințele dumneavoastră"
"Thumbnail Image","Pictogramă"
"Title","Denumire"
"Type","Tip"
"Upload image","Încarcă imagine"
"Value Set","Set valori"
"Value Sets","Seturi de valori"
"Value sets","Seturi de valori"
"Value was deleted sucessfully","Valoarea a fost ștearsă cu succes"
"Value Set not found","Setul de valori nu a fost găsit"
"Value Set was deleted sucessfully","Setul de valori a fost șters cu succes"
"View mode","Mod vizualizare"
"Weight","Greutate"
"Only %d item(s) are available","Doar %d produs(e) sunt disponibile"
"Store hottest products","Cele mai vândute produse"
"Popular products","Cele mai vizualizate produse"
"No products found","Niciun produs nu a fost găsit"
"Bestsellers","Top vânzări"
"Filters","Filtre"
"New products","Produse nou"
"Product Catalog","Catalog produs"
"Product Brands","Brand-uri produs"
"Add Product","Adaugă produs"
"Add Category","Adaugă categorie"
"Images","Imagini"
"Cache","Cache"
"Cache path","Adresă cache"
"Catalog route","Adresă catalog"
"Default product count per page","Număr implicit de produse afișate pe pagină"
"Enabled","Activat"
"Hurl world delimiter","Delimitator cuvinte în url"
"Image path","Cale imagini"
"Large height","Înălțime maximă"
"Large width","Lățime maximă"
"Lens cursor","Cursor lupă"
"Lens opacity","Transparență lupă"
"Lightbox fade speed","Viteză fade pentru lightbox"
"Lightbox resize speed","Viteză redimensionare pentru lightbox"
"Lightbox trigger","Lightbox trigger"
"Mask opacity","Transparență mască"
"Opacity","Transparență"
"Product Info height","Înălțime informații produs"
"Product Info width","Lățime informații produs"
"Repeat","Repetă"
"SEO Description Length (45 -150 chars)","Lungime descriere SEO(45-150 caractere)"
"Small height","Inălțime mică"
"Small width","Lățime mică"
"Switch image trigger","Viteză de schimbare imagini"
"Thumbnail image height","Înălțime Thumbnail"
"Thumbnail image width","Lățime Thumbnail"
"Watermark Position","Poziție copyright"
"Zoom off trigger","Viteză aplicare zoom"
"Zoom on trigger","Viteză eliminare zoom"
"Zoomer height","Înălțime zoom"
"Zoomer offset-x","Offset-x zoomer"
"Zoomer offset-y","Offset-y zoomer"
"Zoomer position","Poziție zoomer"
"Zoomer width","Lățime zoomer
"
"Lightzoom","Lightzoom"
"General","General"
"Product Listing","Listare produs"
"Product View","Vizualizare produs"
"Product Images","Imagini produs"
"Watermark","Copyright"
