"'%s' method not found among installed modules","Metoda %s nu a fost găsită în modulele instalate"
"Already registered?","Aveți cont?"
"Card Number","Numărul cardului"
"Card Owner's Name","Numele deținătorului cardului"
"Checkout as Guest","Trimite comanda ca vizitator"
"Checkout as a Guest or Register","Trimiteți comanda ca vizitator sau Înregistrați-va"
"Credit Card Type","Tipul cardului"
"Credit Card","Card"
"Cvv","Cw"
"Easy access to your order history and status","Acces mai ușor în istoricul de comenzi"
"Expiration Date","Valabil până la"
"Fast and easy check out","Plasare de comenzi mult mai rapidă"
"Login","Autentificare"
"Login/Register","Autentificare/Înregistrare"
"Make Check payable to","Beneficiar cec"
"Only %s item(s) of '%s' are available","Doar %d produs(e) din %s sunt disponibile"
"Paypal IPN Invalid %s.","IPN Paypal incorect: %s."
"Please login","Vă rugăm să va autentificați"
"Product '%s' is not found in stock. product_id = %s","Produsul %s nu se mai află în stoc. Id_produs=%s"
"Product '%s' is out of stock","Produsul %s este în afara stocului"
"Received IPN verification","A fost primită verificarea IPN"
"Register and save time!","Înregistrați-va și economisiți timp!"
"Register with us for future convenience","Înregistrați-vă pentru un confort în viitor"
"Register","Înregistrare"
"Send Check to","Trimite cecul către"
"Thank You! We Appreciate your Business!","Mulțumim!"
"Thank you for shopping. Please click the Log Off link to ensure that your receipt and purchase information is not visible to the next person using this computer.","Vă mulțumim că ați cumpărat de la noi! Vă rugăm să va deconectați pentru a vă asigura că informațiile dumneavoastră nu sunt vizibilele pentru alte persoane care folosesc acest calculator."
"Transaction in sale mode","Tranzacție în modul de vânzare"
"Your Order Number is","Numărul comenzii dumneavoastră este"
"Add new address","Adaugă adresă nouă"
"Billing Address","Adresă facturare"
"CC Number","Număr card
"
"CC Owner","Deținător card"
"CVV Help","Ajutor CVV"
"Cart is empty","Fonduri insuficiente"
"Change Address","Modifică adresa"
"Change Payment Method","Modifică metoda de plată"
"Checked","Verificat"
"Checkout Onepage","Finalizare comandă"
"Checkout Success","Comandă transmisă cu succes"
"Checkout Wizard","Wizard finalizare comandă"
"Checkout","Finalizare comandă"
"Checkout Process","Proces finalizare comandă"
"Confirm your order","Confirmați comanda"
"Create Order","Creează comandă"
"Confirmation","Confirmare"
"Continue shopping","Continuă cumpărăturile"
"Continue","Continuă"
"Create New Address","Creează o adresă nouă"
"Create/Edit Address","Creează/Editează adresa"
"Delivery Address","Adresă livrare"
"Details","Detalii"
"Due errors while checking your shopping cart contents, we made some changes to it. Check it out now","Datorită unor erori apărute în procesul de verificare al coșului dumneavoastră de cumpărături, am făcut niște modificări în el. Vă rugam să îl verificați înainte."
"Duplicate entry (must be unique set taxclass, geozone, customer group)","Duplicat la intrare (Zona geografică, grupul clientului și clasa taxe trebuie să fie unice)"
"Email","Email"
"End Price","Preț final"
"Error","Eroare"
"Expires Date","Data expirării"
"Fill all variation options please","Vă rugăm să completați toate câmpurile produsului"
"Final price","Preț final"
"Image","Imagine"
"Incorrect address recieved","Am primit o adresă greșită"
"Invalid address","Adresă invalidă"
"Invalid modifier value recieved","Valoarea introdusă este greșită"
"My Account Orders","Comenzile mele"
"Order created","Comandă creată"
"Order total amount does not match paypal gross total amount","Totalul comenzii nu se potrivește cu totalul contului PayPal"
"Password","Parolă"
"Payment Method","Metodă de plată"
"Paypal Account","Cont PayPal"
"Paypal Express Checkout","Finalizare comandă cu PayPal"
"Pickup","Ridicare"
"Price","Preț"
"Proceed to Checkout","Finalizare comandă"
"Product was successfully added to your shopping cart","Produsul a fost adăugat cu succes în coșul dumneavoastră"
"Remove item","Șterge produs"
"Remove","Șterge"
"Select billing address","Selectează adresa de facturare"
"Select delivery address","Selectează adresa de livrare"
"Selected payment method in not allowed","Metoda de plată aleasă nu este permisă"
"Selected shipping method in not allowed","Metoda de livrare aleasă nu este permisă"
"Set required attribute: %s","Este necesar sa setați atributul: %s"
"Ship to same address","Livrează la aceeași adresă"
"Shipping Method","Metodă de livrare"
"Shopping Cart - %s item(s)","Coș de cumpărături - %s produs(e)"
"Shopping Cart","Coș de cumpărături"
"Signup","Creează cont"
"Total","Total"
"Update","Actualizează"
"Use this address","Folosește această adresă"
"View","Vezi"
"We can not accept payment from this billing address.","Nu putem accepta plata de la această adresă de facturare"
"We can not deliver the goods at the listed address.","Ne pare rău. Nu putem să livram produsele la această adresă."
"Your shopping cart is empty","Coșul dumneavoastră este gol"
"edit","modifică"
"loading...","se încarcă..."
"%s item(s)","%s produs(e)"
"Subtotal","Subtotal"
"Shipping","Livrare"
"Tax","TVA"
"Shipping Tax","Taxă livrare"
"Order Total Modules","Module total comadă"
"Enabled","Activat"
"Sort Order","Sortează comanda"
"ShippingTax","Cost livrare"
"You can add some additional information for our manager","Puteți adăuga informații suplimentare"
"You can view your order history by going to the %s page","Puteți vizualiza istoricul comenzilor de pe această pagină: %s"
"Display Mode for Custom Fields","Mod de afișare pentru câmpurile personalizate"
"Display Shipping Address","Afișează adresa de livrare"
"Default Values","Valori implicite"
"Onestep Ajax Requests","Cereri instant Ajax"
"Reload when Billing Address was Changed","Actualizează la modificarea adresei de facturare"
"Reload when Delivery Address was Changed","Actualizează la modificarea adresei de livrare"
"Reload when Shipping Method was Changed","Actualizează la modificarea metodei de livrare"
"Reload when Payment Method was Changed","Actualizează la modificarea metodei de plată"
"You can disable this option if you don't use different payment methods for different addresses","Puteți dezactiva această opțiune dacă nu folosiți metode diferite de plată pentru adrese diferite"
"You can disable this option if you don't use different shipping methods or shipping taxes for different addresses","Puteți dezactiva această opțiune dacă nu folosiți metode diferite de livrare pentru adrese diferite"
"You can disable this option if all of your shipping methods have equal pricing, and if you don't have dependency between available payment methods and shipping method","Puteți dezactiva această opțiune dacă toate metodele de livrare au același preț și sunt nu există legături între metoda de plată și metoda de livrare"
"You can disable this option if you don't have dependency between available shipping methods and payment method","Puteți dezactiva această opțiune dacă nu există o legătură între metodele de livrare disponibile și metoda de plată"
"Payment Method is required.","Modul de plată este obligatoriu"
"Shipping Method is required.","Metoda de livrare este obligatorie"
"Use as Delivery Address","Folosește ca adresă de livrare"
"Reset","Resetează"
"Order review","Verificare comandă"
"Place Order","Trimit comanda"
"Redirect Location","Locație redirecționare"
"Customer will be redirected to selected page after adding item to cart","Clientul va fi redirecționat la pagina indicată după ce adaugă un produs în coșul de cumpărături"
"Are you sure you want to remove this product from shopping cart?","Sunteți sigur că vreți sa eliminați acest produs din coșul dumneavoastră?"
