"Categories/Pages","Categorii/Pagini"
"Category was deleted successfully","Categoria a fost ştearsă cu succes"
"Category was saved successfully","Categoria a fost salvată cu succes"
"Comment successfully added","Comentariul a fost adăugat cu succes"
"Comments","Comentarii"
"Leave your comment","Lasă un comentariu"
"Page Comments","Comentarii pagini"
"Page not found","Pagina nu a fost găsită"
"Page was deleted successfully","Pagina a fost ştearsă cu succes"
"Page was saved successfully","Pagina a fost salvată cu succes"
"Pages","Pagini"
"Static Blocks","Blocuri statice"
"Block %s not found","Blocul %s nu a fost găsit"
"CMS","CMS"
"Uncategorized Pages","Pagini fără categorii"
