"Home","Acasă"
"Can't open file with write permissions : %s","Nu se poate deschide fișierul cu permisiuni de scriere: %s"
"Can't upgrade module to %s. Upgrade file not found","Modulul %s nu a putut fi actualizat. Fișierul de actualizare nu a fost găsit"
"Can't write content to file :%s","Nu s-a putut scrie în %s"
"Config field '%s' was not found","Câmpul %s nu a fost găsit"
"Directory %s not readable","Directorul %s nu poate fi citit"
"Incorect filename %s","Fișierul %s are denumire incorectă"
"Installation file not found for '%s'","Fișierul %s nu a fost găsit"
"Item(s)","Produs(e)"
"Module '%s' is installed already","Modulul %s este deja instalat"
"Module '%s' is required by '%s', but can't be installed","Modulul %s este obligatoriu pentru %s, dar nu poate fi instalat"
"Module '%s' was successfully installed","Modulul %s a fost instalat cu succes"
"Module '%s', (version %s %s) is required by '%s', but can't be upgraded","Modulul %s, (versiunea %s %s) este obligatoriu pentru %s, dar nu poate fi actualizat"
"Powered by %s v. %s","Realizat de %s v. %s"
"Report any %s you've found","Raportați fiecare %s pe care le găsiți"
"An error has occured processing your request","A apărut o eroare în momentul procesării cererii dumneavoastră"
"Billing Address","Adresă facturare"
"Box was saved successfully","Caseta a fost salvată cu succes"
"Bugs or Issues","Bug-uri sau Probleme"
"Cannot open file with write permissions","Fișierul nu a putut fi deschis cu permisiune de scriere"
"Close Window","Închide fereastra"
"Config file is corrupted","Fișierul de configurare este corupt."
"Copyright © 2008, Axis, Inc. All Rights Reserved","Copyright ©2008, Axis, Inc. Toate drepturile rezervate"
"Copyright","Copyright"
"Data was saved successfully","Data a fost salvată cu succes"
"Date","Dată"
"Dear","Dragă"
"Delivery Address","Adresă livrare"
"Dir %s not exist","Directorul %s nu există"
"E-mail","E-mail"
"Error write file : %s dir chmod 755 need","Fișierul %s nu poate fi scris. Modificați permisiunile în 755"
"File already exist","Fișierul există deja"
"Filename","Nume fișier"
"If you feel that you have received this email in error, please send an email to","Dacă considerați ca ați primit acest mail din întâmplare vă rugăm să ne contactați"
"If you want to change your password, go to %s","Dacă doriți să vă modificați parola, accesați %s"
"If you want to change your password, go to <a href=%s>Change password</a>","Dacă doriți să vă modificați parola accesați <a href=%s>Modifică parola</a>"
"Incorrect field path","Cale fișier incorectă"
"Latest version of module is already installed","Ultima versiune a acestui modul este deja instalată"
"Login","Autentificare"
"Message was sended to you. Check your mailbox","Mesajul a fost trimis către dumneavoastră. Verificați căsuța de email"
"Module is not installed yet","Modulul nu a fost instalat deocamdată"
"Module was successfully uninstalled","Modulul a fost dezinstalat cu succes"
"No data to save","Nicio informație nu a fost salvată"
"Notice","Notificare"
"Order","Comandă"
"Password","Parolă"
"Report","Raportează"
