"Add","Adaugă"
"Attribute","Atribut"
"Date","Dată"
"Price","Preț"
"Product (id)","Produs (Id)"
"Product date","Dată produs"
"Product price","Preț produs"
"Add New Discount","Adaugă discount nou"
"Customer Groups","Grupuri clienți"
"Discount '%s' successefull saved","Discountul %s a fost salvat cu succes"
"Discount Name","Denumire discount"
"Discount Priority","Prioritate discount"
"Discount type","Tip discount"
"Discounts","Discounturi"
"Edit Discount","Editeaza discount"
"From Date","Începând cu data"
"Is Combined","Mixt"
"Show All","Arată tot"
"Show only Special","Doar cu preț special"
"Show without Special ","Doar fără preț special"
"Status","Status"
"To Date","Până la data"
"Update value","Actualizează valoarea"
"You can not use those symbols","Nu puteți să folosiți aceste simboluri"
"Season sale","Reduceri de sezon"
"General","General"
"Additional Conditions","Condiţii adiţionale"
