"Google Base","Google Base"
"Application","Aplicaţie"
"Connection type","Tipul conexiunii"
"dryRun","dryRun"
"Item type","Tipul obiectului"
"Link products to","Leagă produsul către"
"Login","Autentificare"
"Password","Parolă"
"Payment","Metodă de plată"
"Payment notes","Note de plată"
"General","General"
"Set 'Yes' for testing, 'No' for production","Setează ""Da"" pentru teste, ""Nu"" pentru producţie"
"Name of the application that last modified this item.\r\nAll applications should set this attribute whenever they insert or update an item. Recommended format : Organization-ApplicationName-Version",""
"If you want to use GoogleBase pages as landing page for your items, or you  can't give the link to your webstore - select Google base, otherwise - select Website.","Dacă vreţi să folosiţi pagina GoogleBase ca pagină principală pentru produsele dumneavoastră, sau nu puteţi face legătura cu magazinul dumneavoastră selectaţi Google Base, altfel selectaţi Site"
"Type of your products. Read this for more information http://code.google.com/apis/base/starting-out.html#ItemTypes","Tipul produselor dumneavoastră. Mai multe informaţii găsiţi la adresa: http://code.google.com/apis/base/starting-out.html#ItemTypes"
"Let your customers buy with all major credit cards","Oferă clienţilor posibilitatea să cumpere cu principalele carduri"
"Login type. For ClientLogin fill login and password fields. For AuthSub you will have to enter login and password manually","Mod de autentificare. Pentru autetificare client (ClientLogin) trebuie completate numele de utilizator şi parola. Pentru AuthSub trebuie introduse datele manual"
"Your google account to submit products","Contul dumneavoastră Google pentru adăugare produse"
"Password to google account","Parola contului Google"
"",""
