"No currencies found","Nicio monedă nu a fost găsită"
"Currency List","Listă monede"
"Currency was deleted successfully","Moneda a fost ştearsă"
"Currency was saved successfully","Moneda a fost salvată cu succes"
"Language was deleted successfully","Limba a fost ştearsă cu succes"
"Language was saved successfully","Limba a fost adăugată cu succes"
"Language","Limba"
"Languages","Limbi"
"Locale format is unsupported","Formatul local nu este permis"
"No language found to delete","Nu a fost găsită nicio limbă pentru ştergere"
"Standard","Standard"
"Right","Dreapta"
"Left","Stânga"
"Currency","Monedă"
"No Symbol","Fără simbol"
"Use Symbol","Foloseşte simbol"
"Use Shortname","Folosește prescurtare"
"Use Name","Folosește numele"
"Base currency rate should be 1.00","Rata de schimb a monede trebuie să fie 1.00"
"Currency rate was changed to 1.00","Rata de schimb a monedei a fost modificată în 1.00"
"Localization","Localizare"
"Currencies","Monede"
"Locale","Local"
"Base currency","Moneda implicită"
"Default Address Format","Formatul adresei"
"Default display currency","Moneda implictă"
"Default locale","Zona implicită"
"Timezone","Fus orar"
"General","General"
"Currency will be used for all online payment transactions","Moneda va fi folosită pentru toate plățile realizate online"
"Default currency","Moneda implicită"
"Default site locale","Zona implicită"
"Default backend language","Limba panoului de administrare"
"Default frontend language","Limba magazinului"
