"Authorization Type","Tip autorizație"
"Customer Notification","Notificare client"
"Gateway URL","Adresă poartă de acces"
"Login Id","Id Autentificare"
"Merchant Email","Email comerciant"
"Test Mode","Mod de teste"
"Title","Denumire"
"Transaction Key","Cheie tranzacție"
"Authorize.Net Aim","Focus Authorize.Net"
"Authorize.Net","Authorize.Net"
"Do you want submitted credit card transactions to be authorized only, or authorized and captured?","Doriți ca această tranzacție să fie doar autorizată. sau autorizată și memorată?"
"Should Authorize.Net email a receipt to the customer?","Poate Authorize.net să trimită un e-mail către client?"
"The API Login ID used for the Authorize.net service","Id-ul folosit de API pentru autentificarea în serviciul Authorize.net"
"Transaction Key used for encrypting TP data (See your Authorizenet Account->Security Settings->API Login ID and Transaction Key for details.)","Transaction Key used for encrypting TP data (See your Authorizenet Account->Security Settings->API Login ID and Transaction Key for details.)"
