"Can't buy %s with qty %s","Nu puteți cumpăra %s în cantitate de %s"
"New order status create : %s","Statusul unei comenzii noi: %s"
"Order status  %s upload","%s incarcat"
"Order status not exist","Statusul comenzii nu există"
"Order status was changed to %s","Statusul comenzii a fost schimbat în %s"
"Product can't be shipped. Name: %s, Sku: %s","Produsul nu poate fi livrat. Denumire: %s, Cod: %s"
"Relation no change. Order status %s is SYSTEM ","Relația nu a fost schimbată. Statusul comenzii %s este SYSTEM"
"Actions","Acțiuni"
"Backorder","Comandă întârziată"
"Bill to","Facturat pe"
"Billing","Facturare"
"Comments","Comentarii"
"Customer Notified","Client notificat"
"Customer email","Email client"
"Date added","Data adăugării"
"Date","Data"
"Delivery","Livrare"
"Fax","Fax"
"Grand Total","Total"
"Id","Id"
"Ip","Ip"
"Name","Denumire"
"No data to print","Nicio informație nu este disponibilă pentru printare"
"Order Date","Data comenzii"
"Order Number","Numărul comenzii"
"Order Status","Statusul comenzii"
"Order Subtotal","Subtotal comandă"
"Order Total","Total comandă"
"Order not found","Comanda nu a fost găsită"
"Order status %s already exist","Statusul comenzii %s există deja."
"Order was deleted successfully","Comanda a fost ștearsă cu succes"
"Order","Comandă"
"Orders","Comenzi"
"Payment Method","Metodă de plată"
"Payment","Metodă de plată"
"Phone","Telefon"
"Order #%s, Credit card middle digits: %s","Comanda #%s. Cifrele din mijlocul cardului: %s"
"Price","Preț"
"Products","Produse"
"Qty","Cantitate"
"Relation not exist %s <=> %s","Relația nu există  %s <=> %s"
"Ship to","Livrare către"
"Shipping","Livrare"
"Shipping & Handling","Livrare"
"Shipping Method","Metodă de livrare"
"Shipping Tax","Taxă livrare"
"Site","Site"
"Sold to","Vândut către"
"Status not exist","Statusul nu există"
"Status was deleted successfully","Statusul a fost șters cu succes"
"Status was saved successfully","Statusul a fost salvat cu succes"
"Tax","Taxă"
"Total Shipping Charges","Taxe totale de expediere"
"Total","Total"
"Undefined","Nedefinit"
"View All","Vezi toate"
"View","Vezi"
"edit","modifică"
"new window","fereastră nouă"
"Recent Orders","Comenzi recente"
"No orders found","Nicio comandă nu a fost găsită"
"Order statuses","Status comandă"
"Sales","Vânzări"
"Default Order Status","Status implicit comandă"
"Order notifications reciever","Receptor notificări comenzi"
"Pattern for Custom Order Number","Model pentru numărul comenzii"
"Prefix for Custom Order Number","Serie pentru comenzi"
"All notifications about new orders will be sended to this email","Toate notificările legate de comenzi noi vor fi trimise către această adresă de email"
"Order created","Comandă creată"
"Your order","Comanda dumneavoastră"
"All Time Sales","Vânzări totale"
"Today Sales","Vânzările zilei"
"Average Order Total","Medie comenzi"
"Conversion rate","Rată conversie"
"Order Information","Informație comandă"
"An order has been created on %s","O comandă a fost creată pe %s"
"Status of your order has been changed","Statusul comenzii dumneavoastră a fost schimbat"
"Your order #%s status has been changed to %s","Statusul comenzii dumneavoastră %s a fost modificat în %s"
"You can check the status of your order by <a %s>logging into your account</a>","Puteți vedea statusul comenzii dumneavoastră <a %s> autentificându-vă în contul dumneavoastră </a>"
"You can check the status of your order by logging into your account","Puteți vedea statusul comenzii dumneavoastră autentificându-vă în contul dumneavoastră"
"Order #%s. Credit card number","Comanda #%s. Card numărul"
