"Can't create folder %s. Permission denied","Folderul %s nu a putut fi creat. Acces interzis"
"Can't write to folder %s. Permission denied","Nu s-a putut scrie în folderul %s. Accesul este interzis"
"Search results for '%s'","Rezultatele căutării după: %s"
"Advanced Search","Căutare avansată"
"All result","Toate rezultatele"
"Item(s)","Produs(e)"
"Please, update search indexes, to enable search functionality","Vă rugăm actualizați indexul de căutare pentru a activa modulul de căutare"
"Search entire store...","Căutare în întreg magazinul"
"Search returns no results","Căutarea nu a întors niciun rezultat"
"Search","Caută"
"Searches last month","Căutări în ultima lună"
"Searches last week","Căutări săptămâna trecută"
"Searches today","Căutări făcute azi"
"Searches with null result","Căutări fără rezultate"
"Show per page","Arată pe pagina"
"Search Queries","Interogări căutare"
