"Engines","Motoare"
"Not used","Nefolosite"
"Products","Produse"
"Results","Rezultate"
"Site Map All Pages","Generează Sitemap pentru toate paginile"
"Site Map All Products","Sitemap pentru toate produsele"
"Site Map Categories","Sitemap pentru toate gategoriile"
"Sitemap","Sitemap"
"Ask Ping Url","Ask Ping Url"
"Enabled","Activat"
"Frequency","Frecență"
"Google Ping Url","Adresă Ping Google
"
"Msn Ping Url","Adresă Ping Msn"
"Priority","Prioritate"
"Show pages","Arată paginile"
"Start Time","Timp pornire"
"Yahoo Ping Url","Adresă ping Yahoo"
"Categories Options","Opțiuni categorii"
"CMS Pages Options","Opțiuni pagini CMS"
"General","General"
"Products Options","Opțiuni produse"
"The priority of this URL relative to other URLs on your site.Valid values range from 0.0 to 1.0","Prioritatea acestei adrese URL trebuie să se fie asemănătoare cu ce a celorlalte adrese ale siteului. Valori valide între 0.0 și 1.0"
"Show pages on sitemap page","Afișează paginile pe pagina Sitemap-ului"
