"Products associated with tag '%s'","Produse asociate tagului %s"
"Tag '%s' was successfully added to product","Tagul %s a fost adăugat cu succes"
"Your tag '%s' is already added to this product","Tagul %s este deja asociat acestui produs"
"Add Tags","Adaugă taguri"
"Add multiple tags separated by commas","Puteți adăuga taguri multiple folosind virgula (,)"
"Customer tags","Taguri clienți"
"No tags found","Nu a fost găsit niciun tag"
"Remove item","Șterge"
"Tags","Taguri"
"There are no products matching your request","Nu există produse care să îndeplinească cerințele alese
"
"Remove tag from this product","Șterge tagul de la acest produs"
"My Tags","Tagurile mele"
"Product Tags","Taguri produs"
"Tag","Tag"
"Default customer tag status","Status implicit pentru taguri clienți"
"Default guest tag status","Status implicit pentru taguri vizitatori"
"General","General"
"Default tag status added by registered customer","Status implicit pentru taguri adăugate de clienți înregistrați"
"Default tag status added by guest","Status implicit pentru taguri adăugate de vizitatori"
