"Tax Classes","Clase taxă"
"Tax Rates","Rate taxă"
"Tax","Taxă"
"Shipping TaxBasis","Taxe de bază livrare"
"Shipping TaxClass","Clasă taxa de livrare"
"TaxBasis","Taxă de bază"
"General","General"
"Shipping Tax","Taxă livrare"
"Tax Basis","Bazele taxei"
"Tax Class","Clasă taxă"
"Address that will be used for tax calculation","Adresa folosită pentru calculul taxei"
"Tax class that will be used for tax calculation","Clasa taxei folosită pentru calculul taxei"
"Address that will be used for shipping tax calculation","Adresa folosită pentru calculul taxei de livrare"
"Tax class that will be used for shipping tax calculation","Clasa taxei folosită pentru calcului taxei de livrare"
