"Can't write to file %s","Нельзя писать в файл %s"
"Change %s's password","Изменить пароль %s"
"Change %s's password: Axis administrator panel","Изменить пароль %s: панель администратора Axis"
"Csv Import/Export","Csv Импорт/Экспорт"
"Import","Импорт"
"Invalid hash recieved. Please fill forgot form again","Получен неверный хэш. Пожалуйста, заполните форму заново."
"Template is used already and can't be deleted","Нельзя удалить. Шаблон используеться "
"Your can't delete default Guest group id: %s ","Вы не можете удалить гостевую группу по-умолчанию № %s"
"Your can't delete default customer group id: %s ","Вы не можете удалить группу клиентов по-умолчанию № %s"
"No","Нет"
"Yes","Да"
"Access Denied","Доступ запрещен"
"Action","Действие"
"Active","Активный"
"All time","Всегда"
"Amounts ","Сумма"
"At least one language should be determined","Нужно выбрать хотя бы один язык"
"Back","Назад"
"Box Class","class блока"
"Cache was cleared successfully","Кэш успешно удален"
"Cannot connect to database","Невозможно подключиться к базе данных"
"Cannot open file with read permissions","Нельзя открыть файл с правами для чтения"
"Change","Изменить"
"Clear all","Очистить все"
"Config","Конфиг"
"Configuration was saved successfully","Конфигурация была сохранена"
"Configuration","Конфигурация"
"Confirm new password","Подтвердить новый пароль"
"Controller","Контроллер"
"Convertion rate","Уровень конверсии"
"Copy global %s successfully","Общая копия %s готова"
"Country","Страна"
"Data was deleted successfully","Данные успешно удалены"
"Data was deleted successfully. %d item(s) was deleted. %d item(s) was skipped","Данные удалены. Удалено товаров: %d, пропущено: %d"
"Data was updated successfully. %d item(s) was updated. %d item(s) was skipped","Данные обновлены. Обновлено товаров: %d, пропущено: %d"
"Day","День"
"Description","Описание"
"Disable all","Отключить все"
"Email Templates","Шаблоны Email"
"Email address was not found in our records","Email не найден в наших записях"
"Email","Email"
"Enable all","Включить все"
"Error","Ошибка"
"Export process has been completed. %d item(s) was exported. %d item(s) was skipped","Экспорт завершен. Экспортировано товаров: %d, пропущено: %d"
"Field was deleted successfully","Поле успешно удалено"
"Forgot Your Backend Password","Забыли Ваш Пароль Админки?"
"Forgot your password?","Забыли ваш пароль?"
"Global","Общий"
"Go to login page","Перейти на страницу авторизации"
"Group was deleted successfully","Группа была успешно удалена"
"Hide","Спрятать"
"Install %s","Установить %s"
"Interface locale","Язык интерфейса"
"Layout block","Макет блока"
"Login to Axis administrator panel","Войти в панель администратора Axis "
"Module","Модуль"
"Modules","Модули"
"Month","Месяц"
"Name","Имя"
"New password","Новый пароль"
"Next","Следующий"
"No data to delete","Нет данных для удаления"
"Order","Заказ"
"Orders","Заказы"
"Pageviews","Просмотр страниц"
"Parent Roles","Родительские роли"
"Password","Пароль"
"Please, select some site from menu","Выберите сайт из меню, пожалуйста"
"Prev","Предыдущий"
"Profile was deleted successfully","Профиль успешно удален"
"Profile was saved successfully","Профиль успешно сохранен"
"Requested method not found","Запрашиваемый метод не найден"
"Retrieve Your Password","Восстановить Ваш пароль"
"Role was added successfully","Роль была успешно добавлена"
"Role was deleted successfully","Роль была успешно удалена"
"Role was saved successfully","Роль была успешно сохранена"
"Roles","Роли"
"Rules (Allow|Deny)","Правила (Разрешено|Запрещено)"
"See your mailbox to proceed","Проверьте Ваш почтовый ящик что бы продолжить"
"Select Site","Выберите сайт"
"Select data to import","Выберите данные для импорта"
"Separate block","Отдельный блок"
"Separate template","Отдельный шаблон"
"Set the primary language please","Выберите основной язык, пожалуйста"
"Show","Показать"
"Site was deleted successfully","Сайт успешно удален"
"Site was saved successfully","Сайт успешно сохранен"
"Status was updated successfully %d item(s) was updated. %d item(s) was skipped","Статус был успешно обновлен. Обновлено товаров: %d, пропущено: %d"
"Tab container","Контейнер вкладок"
"Template was deleted successfully","Шаблон успешно удален"
"Template was exported successfully","Шаблон успешно экспортирован"
"Template was imported successfully","Шаблон успешно импортирован"
"Templates","Шаблоны"
"Upgrade to %s","Обновление до %s"
"Use global successfully","Используется глобально"
"User was deleted successfully","Пользователь успешно удален"
"User was saved successfully","Пользователь успешно сохранен"
"Username","Имя пользователя"
"Users","Пользователи"
"Value","Значение"
"Visitors","Посетители"
"Week","Неделя"
"Welcome","Добро пожаловать"
"Year","Год"
"You do not have privileges to access this action.","У вас не хватает прав доступа для этого"
"You have no permission for this operation","У вас нет разрешения для этой операции"
"Your session has been expired. Please relogin","Ваша сессия была прострочена. Пожалуйста перелогиньтесь"
"Zone","Зона"
"Reports","Отчеты"
"Marketing","Маркетинг"
"Design Control","Дизайн"
"Pages","Страницы"
"Administrate","Администрирование"
"Site","Сайт"
"Admin users","Администраторы"
"Cache Management","Управление кэшем"
"Import/Export","Импорт/Экспорт"
"OsCommerce","OsCommerce"
"Cache","Кэш"
"Design","Дизайн"
"Email address is required","Email обязателен"
"Password is required","Пароль обязателен"
"Password confirmation does not match","Пароли не совпадают"
"Password successfully changed","Пароль успешно изменен"
"Configuration option was saved successfully","Конфигурация успешно сохранена"
"Save","Сохранить"
"Cancel","Отмена"
"Save and Continue Edit","Сохранить и продолжить"
"%d new orders today, total %s","Сегодня новых заказов: %d, всего: %s"
"%d new requests today","Сегодня новых запросов: %d"
"Create template","Создать шаблон"
"Import template","Импортировать шаблон"
"Administrators","Администраторы"
"Update search indexes","Обновить поисковые индексы"
"Payment Methods","Методы оплаты"
"Allowed Payment Zone","Допустимые зоны для оплаты"
"Disallowed Shippings","Запрещенные перевозки"
"Order Status on payment complete","Статус заказа при завершении оплаты"
"Maximum order total amount","Максимальная сумма заказа"
"Minimum order total amount","Минимальная сумма заказа"
"Accept verification code","Принять код верификации"
"Save credit card number action","Сохранение номера кредитной карты"
"Save verification code","Сохранить код верификации"
"Shipping Methods","Методы доставки"
"Disallowed Payments","Неразрешенные методы оплаты"
"Allowed Shipping Zone","Допустимые зоны доставки"
"Accepted Credit Cards","Принимаются кредитные карты"
"Credits cards allowed to use with this payment method","Кредитные карты разрешены для использования этим платежным методом"
"Payment method will be available only for selected zone","Способ оплаты будет доступен только для выбранной зоны"
"Selected shipping methods will be not available with this payment method","Выделенные методы доставки не будут работать с этим способ оплаты"
"Set the status of orders made with this payment module to this value","Устанавливать выбранный статус заказа выполненного с использованием данного метода оплаты"
"How would you like to save credit card number","Как вы хотите сохранять номер кредитной карты"
"Do you want to save cvv code?","Вы хотите сохранить CVV код?"
"Shipping method will be available only for selected zone","Способ доставки будет доступен только для выбранной зоны"
"Selected payment methods will be not available with this shipping method","Выбранные способы оплаты будут не доступны для этого способа доставки"
"Such user does not exists","Такой пользователь не существует"
"Wrong password","Неправильный пароль"
"You cannot delete yourself","Вы не можете удалить себя"
"Display messages from service provider","Показывать сообщения от провайдера"
