"Categories/Pages", "Категории/Страницы"
"Category was deleted successfully", "Категория успешно удалена"
"Category was saved successfully", "Категория успешно сохранена"
"Comment successfully added", "Коментарий успешно добавлен"
"Comments", "Коментарии"
"Leave your comment", "Оставьте свой коментарий"
"Page Comments", "Комментарии к страницам"
"Page not found", "Страница не найдена"
"Page was deleted successfully", "Страница была успешно удалена"
"Page was saved successfully", "Страница была успешна сохранена"
"Pages", "Страницы"
"Static Blocks", "Статические блоки"
"Block %s not found", "Блок %s не найден"
"CMS", "CMS"
"Uncategorized Pages", "Страницы вне каталога"
