"Add", "Добавить"
"Attribute", "Аттрибут"
"Date", "Дата"
"Price", "Цена"
"Product (id)", "Продукт (id)"
"Product date", "Дата продукта"
"Product price", "Цена продукта"
"Add New Discount", "Добавить новую скидку"
"Customer Groups", "Группы пользователей"
"Discount '%s' successefull saved", "Скидка '%s' успешно добавлена"
"Discount Name", "Название скидки"
"Discount Priority", "Приоритет скидки"
"Discount type", "Тип скидки"
"Discounts", "Скидки"
"Edit Discount", "Редактировать скидку"
"From Date", "С даты"
"Is Combined", "Комбинированная"
"Show All", "Показать все"
"Show only Special", "Показать только специальные"
"Show without Special ", "Показать без специальных"
"Status", "Статус"
"To Date", "По дату"
"Update value", "Обновить значение"
"You can not use those symbols", "Нельзя использовать эти символы "
"Season sale", "Сезонная распродажа"
"General", "Общие"
"Additional Conditions", "Дополнительные условия"
