"Google analytics", "Google analytics"
"Enabled", "Включен"
"GOOGLE_ANALYTICS_UACCT", "GOOGLE_ANALYTICS_UACCT"
"Id", "Id"
"Language(en_EN)", "Язык(en_EN)"
"Optional partner or store affilation", "Дополнительный партнер или аффилированный склад"
"Prefix", "Префикс"
"PRODUCTS ATTRIBUTES BRACKETS", "PRODUCTS ATTRIBUTES BRACKETS"
"PRODUCTS ATTRIBUTES DELIMITER", "PRODUCTS ATTRIBUTES DELIMITER"
"USE PAGENAME", "USE PAGENAME"
"Conversion option", "Опция конверсии"
"General", "Общие"
"Products attributes", "Аттрибуты продуктов"
"Tracking options", "Опции отслеживания"
"Enabled currency convertion", "Включена конвертация валют"
"Enabled tracking", "Включить отслеживание"
