"Google Base", "Google Base"
"Application", "Приложение"
"Connection type", "Тип подключения"
"dryRun", "dryRun"
"Item type", "Тип"
"Link products to", "Привязать продукт к"
"Login", "Логин"
"Password", "Пароль"
"Payment", "Оплата"
"Payment notes", "Заметки по оплате"
"General", "Общие"
"Set 'Yes' for testing, 'No' for production", "Укажите 'Yes' для тестирования, 'No' для работы"
"Name of the application that last modified this item.\r\nAll applications should set this attribute whenever they insert or update an item. Recommended format : Organization-ApplicationName-Version", "Имя приложения, которое последнее модифицировало продукт.\r\nВсе приложения должны передавать этот атрибут при добавлении или обновлении продукта. Рекомендуемый формат: Организация-НазваниеПриложения-Версия"
"If you want to use GoogleBase pages as landing page for your items, or you  can't give the link to your webstore - select Google Base, otherwise - select Website.", "Если вы хотите использовать страницу GoogleBase как основную страницу продукта, или не можете указать ссылку на ваш магазин - выберите Google Base, иначе - выберите Website."
"Type of your products. Read this for more information http://code.google.com/apis/base/starting-out.html#ItemTypes", "Тип продуктов. Больше информации смотрите здесь: http://code.google.com/apis/base/starting-out.html#ItemTypes"
"Let your customers buy with all major credit cards", "Разрешить пользователям покупать всеми основными кредитными картами"
"Login type. For ClientLogin fill login and password fields. For AuthSub you will have to enter login and password manually", "Тип аутентификации. Для ClientLogin заполните логин и пароль. При AuthSub вам будет необходимо вводить эти данные вручную"
"Your google account to submit products", "Ваш google профиль для отправки родуктов"
"Password to google account", "Пароль в учетную запись Google"
