"Can't create folder %s. Permission denied", "Невозможно создать папку %s. Доступ запрещен"
"Can't write to folder %s. Permission denied", "Невозможно записать в папку %s. Доступ запрещен"
"Search results for '%s'", "Результат поиска для  \'%s\'"
"Advanced Search", "Расширенный поиск"
"All result", "Все результаты"
"Item(s)", "Запис(ь/ей)"
"Please, update search indexes, to enable search functionality", "Пожалуйста, обновите поисковые индексы чтобы добавить функциональности для поиска"
"Search entire store...", "Искать по всему магазину..."
"Search returns no results", "Поиск не дал результатов"
"Search", "Поиск"
"Searches last month", "Искали в прошлом месяце"
"Searches last week", "Искали на прошлой неделе"
"Searches today", "Искали сегодня"
"Searches with null result", "Поиски без результата"
"Show per page", "Показывать по станицам"
"Search Queries", "Поисковые запросы"
