"UPS Next Day Air Early A.M.", "UPS авиа-доставка следующего дня утром"
"UPS Next Day Air", "UPS авиа-доставка на следующий день"
"UPS Second Day Air", "UPS авиа-доставка на другой день"
"UPS Three-Day Select", "UPS Three-Day Select"
"UPS Ground", "UPS наземная"
"Ups", "UPS"
"UPS Worldwide Express Plus", "UPS всемирная экспресс + доставка"
"UPS Worldwide Express", "UPS всемирная экспресс доставка"
"UPS Saver", "UPS бережливая"
"UPS Worldwide Expedited", "UPS всемирная ускоренная"
"boxWeightDisplay", "boxWeightDisplay"
"Enable Negotiated Rates", "Enable Negotiated Rates"
"Gateway Url", "URL запроса"
"Gateway XML URL", "XML URL запроса"
"Handling Fee", "Пошлина за обработку"
"Origin of the shipment", "Происхождение отгрузки"
"Residential Delivery?", "Доставка домой?"
"Shipper Number", "Shipper Number"
"UPS Packaging?", "UPS упаковка?"
"UPS Pickup Method", "UPS способ самовывоза"
"UPS Type", "UPS тип"
"UPS Weight Unit", "UPS Удельный вес"
"XML Access License Number", "XML Access License Number"
"XML Account Password", "XML Account Password"
"XML Account User Id", "XML Account User Id"
"Ups Standard", "UPS стандарт"
"Allowed Shipping Methods", "Разрешенные способы доставки"
"Title", "Заголовок"
"Select the UPS services to be offered. : <br />Nxt AM, Nxt AM Ltr, Nxt, Nxt Ltr, Nxt PR, Nxt Save, Nxt Save Ltr, 2nd AM, 2nd AM Ltr, 2nd, 2nd Ltr, 3 Day Select, Ground, Canada,World Xp, World Xp Ltr, World Xp Plus, World Xp Plus Ltr, World Expedite, WorldWideSaver.", "Select the UPS services to be offered. : <br />Nxt AM, Nxt AM Ltr, Nxt, Nxt Ltr, Nxt PR, Nxt Save, Nxt Save Ltr, 2nd AM, 2nd AM Ltr, 2nd, 2nd Ltr, 3 Day Select, Ground, Canada,World Xp, World Xp Ltr, World Xp Plus, World Xp Plus Ltr, World Expedite, WorldWideSaver."
"Variants: 0, 1 or 2 ", "Варианты: 0, 1 или 2"
"Quote for Residential (RES) or Commercial Delivery (COM)", "Цитата для жилых районов (RES) или коммерческих поставок (COM)"
"CP - Your Packaging, ULE - UPS Letter, UT - UPS Tube, UBE - UPS Express Box", "CP - Your Packaging, ULE - UPS Letter, UT - UPS Tube, UBE - UPS Express Box"
"How do you give packages to UPS? CC - Customer Counter, RDP - Daily Pickup, OTP - One Time Pickup, LC - Letter Center, OCA - On Call Air", "How do you give packages to UPS? CC - Customer Counter, RDP - Daily Pickup, OTP - One Time Pickup, LC - Letter Center, OCA - On Call Air"
"CGI or XML", "CGI или XML"
"LBS or KGS", "LBS или KGS"
