"Engines","Механизм"
"Not used","Не используеться"
"Products","Продукты"
"Results","Результаты"
"Site Map All Pages","Карта сайта. Все страницы"
"Site Map All Products","Карта сайта. Все продукты"
"Site Map Categories","Карта сайта. Категории"
"Sitemap","Карта сайта"
"Ask Ping Url","Запросить ссылку для пинга"
"Enabled","Включено"
"Frequency","Частота"
"Google Ping Url","Ссылка пинга Google"
"Msn Ping Url","Ссылка пинга MSN"
"Priority","Приоритет"
"Show pages","Показать страницы"
"Start Time","Врема начала"
"Yahoo Ping Url","Ссылка пинга Yahoo"
"Categories Options","Опции категорий"
"CMS Pages Options","Опции страниц CMS"
"General","Общие"
"Products Options","Опции продуктов"
"The priority of this URL relative to other URLs on your site.Valid values range from 0.0 to 1.0","Приоритет этого URL относительно других URL-адресов на вашем site.Допустимы диапазон значений от 0.0 до 1.0"
"Show pages on sitemap page","Показать страницы в карте сайта"
