"Products associated with tag '%s'", "Продукт привязан к тэгу '%s'"
"Tag '%s' was successfully added to product", "Тэг '%s' успешно добавлен к продукту"
"Your tag '%s' is already added to this product", "Ваш тэг '%s' уже был добавлен к этому продукту"
"Add Tags", "Добавить тэги"
"Add multiple tags separated by commas", "Добавить несколько тэгов разделенных запятыми"
"Customer tags", "Тэги пользователя"
"No tags found", "Тэги не найдены"
"Remove item", "Удалить тэг"
"Tags", "Тэги"
"There are no products matching your request", "Нет товаров, которые отвечают данному запросу "Удалить тег для этого продукта""
"Remove tag from this product", "Удалить тэг у этого продукта"
"My Tags", "Мои тэги"
"Product Tags", "Тэги продукта"
"Tag", "Тэг"
"Default customer tag status", "Статус тегов пользователя по умолчанию"
"Default guest tag status", "Статус тегов гостя по умолчанию"
"General", "Общие"
"Default tag status added by registered customer", "Статус тэгов добавленных зарегистрированным пользователем по умолчанию"
"Default tag status added by guest", "Статус тэга добавленного гостем по умолчанию"
